store_id,category,brand,gender,month,historical_year_count,monthly_units_sold,avg_price_lkr,avg_promotion_percent,total_revenue,total_customer_count,unique_products_sold,holiday_days,festival_days,school_days,weekend_days,promotion_days,max_promotion_percent,avg_campaign_discount,previous_month_sales,previous_2_month_avg,previous_3_month_avg,previous_6_month_avg,same_month_last_year,sales_growth_1m,sales_growth_3m
CP001,Accessories,Emerald,Unisex,6,5,54.6,2269.73,0.0,123341.99,43.0,10,1,0,0,9,0,0.0,0.0,51.6,60.5,57.6,43.73,45.0,-8.9,13.87
CP001,Accessories,Emerald,Unisex,7,5,59.2,2141.07,0.16,123230.7,47.0,10,0,0,0,9,2,16.0,14.97,54.6,53.1,58.53,55.57,48.2,1.5,2.97
CP001,Accessories,Emerald,Unisex,8,5,58.8,2424.55,0.22,148331.96,46.8,9,0,0,21,9,2,13.0,11.33,59.2,56.9,55.13,54.8,41.2,2.3,0.33
CP001,Accessories,Emerald,Unisex,9,5,59.6,2248.86,0.0,130404.61,47.0,10,0,0,5,8,0,0.0,0.0,58.8,59.0,57.53,57.57,49.0,-0.2,-0.03
CP001,Accessories,Emerald,Unisex,10,5,47.8,2226.01,0.0,101811.83,39.2,9,1,0,0,9,0,0.0,0.0,59.6,59.2,59.2,58.87,40.0,0.4,0.33
CP001,Accessories,Emerald,Unisex,11,5,46.0,2200.07,0.0,96800.47,37.2,8,0,0,0,9,2,27.0,24.4,47.8,53.7,55.4,55.27,35.0,-5.9,0.13
CP001,Accessories,Emerald,Unisex,12,5,50.4,2205.74,0.0,106233.01,42.0,9,1,6,0,9,2,23.0,20.25,46.0,46.9,51.13,54.33,39.4,-0.9,-3.2
CP001,Accessories,Emerald,Women,1,5,22.0,3511.23,0.0,82294.83,17.4,3,0,0,10,9,1,9.0,9.0,11.0,11.7,12.13,12.07,15.4,-0.7,0.07
CP001,Accessories,Emerald,Women,2,5,13.4,2901.96,0.0,42978.5,11.0,2,1,0,0,8,0,0.0,0.0,22.0,13.9,13.4,13.17,8.8,8.1,0.23
CP001,Accessories,Emerald,Women,3,5,19.8,2915.28,0.0,60378.13,15.4,3,0,0,0,9,0,0.0,0.0,13.4,17.7,13.6,14.0,13.8,-4.3,-0.4
CP001,Accessories,Emerald,Women,4,5,15.6,2857.94,0.0,48635.99,12.2,2,2,9,0,9,0,3.0,3.0,19.8,16.6,18.4,13.83,13.0,3.2,4.57
CP001,Accessories,Emerald,Women,5,5,15.8,2666.12,0.0,44603.54,12.4,3,2,1,0,9,0,3.0,3.0,15.6,17.7,16.27,13.8,16.2,-2.1,2.47
CP001,Accessories,Emerald,Women,6,3,12.67,3250.64,0.0,43498.58,10.0,2,1,0,0,8,0,0.0,0.0,15.33,12.67,14.67,10.22,11.0,2.67,4.44
CP001,Accessories,Emerald,Women,7,5,10.8,2952.42,0.0,36362.4,8.6,2,0,0,0,9,1,7.0,7.0,14.2,16.5,15.87,16.53,11.0,-2.3,-0.67
CP001,Accessories,Emerald,Women,8,5,12.2,2984.7,1.5,39877.99,10.0,2,0,0,21,9,1,11.0,10.0,10.8,12.5,14.6,15.0,7.0,-1.7,-0.4
CP001,Accessories,Emerald,Women,9,5,19.6,2638.92,0.0,57053.81,15.8,3,0,0,5,8,0,0.0,0.0,12.2,11.5,12.4,14.93,16.2,0.7,-2.53
CP001,Accessories,Emerald,Women,10,5,15.8,2930.79,0.0,46583.16,12.6,2,1,0,0,9,0,0.0,0.0,19.6,15.9,14.2,15.03,14.0,3.7,-0.83
CP001,Accessories,Emerald,Women,11,5,15.6,2325.29,0.0,41939.63,11.6,3,0,0,0,9,0,4.0,4.0,15.8,17.7,15.87,15.23,10.6,-1.9,0.63
CP001,Accessories,Emerald,Women,12,5,14.2,2417.28,0.0,39134.36,11.2,2,1,6,0,9,2,21.0,19.2,15.6,15.7,17.0,14.7,13.8,-0.1,2.3
CP001,Accessories,Hustle,Men,1,5,35.8,2387.28,0.0,80527.37,30.0,6,0,0,10,9,1,9.0,8.5,21.6,21.4,21.33,21.8,25.4,0.2,-0.47
CP001,Accessories,Hustle,Men,2,5,29.2,2501.61,0.0,69309.91,25.0,6,1,0,0,8,0,0.0,0.0,35.8,26.2,24.53,23.07,23.0,9.6,1.47
CP001,Accessories,Hustle,Men,3,5,32.2,2367.74,0.0,69723.54,24.6,6,0,0,0,9,0,0.0,0.0,29.2,32.5,25.33,23.77,23.8,-3.3,1.57
CP001,Accessories,Hustle,Men,4,5,34.0,2733.51,0.24,83035.05,27.4,6,2,9,0,9,2,16.0,13.0,32.2,30.7,32.4,24.23,24.8,1.5,8.17
CP001,Accessories,Hustle,Men,5,5,26.0,2906.65,0.0,71905.03,20.2,7,2,1,0,9,1,9.0,8.0,34.0,33.1,31.8,25.03,21.8,0.9,6.77
CP001,Accessories,Hustle,Men,6,5,31.8,2565.45,0.0,73160.27,25.6,6,1,0,0,9,0,0.0,0.0,26.0,30.0,30.73,25.43,24.0,-4.0,5.3
CP001,Accessories,Hustle,Men,7,5,28.2,3037.89,0.0,74164.83,22.6,6,0,0,0,9,2,14.0,11.17,31.8,28.9,30.6,31.5,23.2,2.9,-0.9
CP001,Accessories,Hustle,Men,8,5,21.2,2550.37,0.29,50697.3,16.8,5,0,0,21,9,2,14.0,13.0,28.2,30.0,28.67,30.23,19.4,-1.8,-1.57
CP001,Accessories,Hustle,Men,9,5,29.4,2856.69,0.0,74485.3,24.6,6,0,0,5,8,0,0.0,0.0,21.2,24.7,27.07,28.9,24.2,-3.5,-1.83
CP001,Accessories,Hustle,Men,10,5,28.8,2775.85,0.0,69983.91,22.8,7,1,0,0,9,0,0.0,0.0,29.4,25.3,26.27,28.43,21.2,4.1,-2.17
CP001,Accessories,Hustle,Men,11,5,28.8,3010.32,0.0,71878.55,23.8,5,0,0,0,9,1,22.0,21.0,28.8,29.1,26.47,27.57,21.2,-0.3,-1.1
CP001,Accessories,Hustle,Men,12,5,25.2,2327.52,0.0,48645.06,20.6,5,1,6,0,9,3,25.0,22.17,28.8,28.8,29.0,28.03,21.6,0.0,0.97
CP001,Accessories,Hustle,Unisex,1,5,18.8,2686.78,0.0,47352.49,14.0,4,0,0,10,9,1,11.0,11.0,18.8,18.8,19.0,22.9,14.8,0.0,-3.9
CP001,Accessories,Hustle,Unisex,2,5,25.8,2544.74,0.0,66776.78,19.4,4,1,0,0,8,0,0.0,0.0,18.8,15.7,16.73,20.8,22.2,3.1,-4.07
CP001,Accessories,Hustle,Unisex,3,5,19.0,2165.33,0.0,41516.44,14.6,4,0,0,0,9,0,0.0,0.0,25.8,22.3,17.13,20.23,17.0,3.5,-3.1
CP001,Accessories,Hustle,Unisex,4,5,32.8,2626.79,0.0,82276.1,25.4,5,2,9,0,9,1,12.0,11.5,19.0,22.4,21.2,17.93,27.6,-3.4,3.27
CP001,Accessories,Hustle,Unisex,5,5,24.6,2654.41,0.54,62039.3,19.4,4,2,1,0,9,1,6.0,6.0,32.8,25.9,25.87,19.57,20.2,6.9,6.3
CP001,Accessories,Hustle,Unisex,6,5,29.8,2966.54,0.0,80215.99,24.4,5,1,0,0,9,0,0.0,0.0,24.6,28.7,25.47,20.03,24.6,-4.1,5.43
CP001,Accessories,Hustle,Unisex,7,5,33.2,2492.14,0.0,82240.48,25.8,5,0,0,0,9,0,3.0,3.0,29.8,27.2,29.07,25.13,25.2,2.6,3.93
CP001,Accessories,Hustle,Unisex,8,5,26.2,2657.56,0.0,65613.59,20.8,5,0,0,21,9,0,6.0,6.0,33.2,31.5,29.2,27.53,23.4,1.7,1.67
CP001,Accessories,Hustle,Unisex,9,5,38.8,2582.72,0.0,96679.13,30.2,5,0,0,5,8,0,0.0,0.0,26.2,29.7,29.73,27.6,31.8,-3.5,2.13
CP001,Accessories,Hustle,Unisex,10,5,25.0,2517.68,0.0,60011.39,20.6,4,1,0,0,9,0,0.0,0.0,38.8,32.5,32.73,30.9,19.4,6.3,1.83
CP001,Accessories,Hustle,Unisex,11,5,28.2,2616.91,0.0,73061.79,21.6,5,0,0,0,9,0,0.0,0.0,25.0,31.9,30.0,29.6,18.8,-6.9,0.4
CP001,Accessories,Hustle,Unisex,12,5,27.2,2793.68,0.0,73284.98,22.4,4,1,6,0,9,1,22.0,20.83,28.2,26.6,30.67,30.2,18.8,1.6,0.47
CP001,Accessories,Hustle,Women,1,5,43.8,2532.15,0.0,129689.68,34.4,8,0,0,10,9,2,13.0,12.5,41.6,35.3,34.4,32.03,33.6,6.3,2.37
CP001,Accessories,Hustle,Women,2,5,37.8,2874.34,0.0,120251.65,28.2,7,1,0,0,8,0,0.0,0.0,43.8,40.0,36.33,31.8,29.6,3.8,4.53
CP001,Accessories,Hustle,Women,3,5,37.8,2877.33,0.0,121615.97,29.4,7,0,0,0,9,0,0.0,0.0,37.8,40.8,37.27,33.33,32.8,-3.0,3.93
CP001,Accessories,Hustle,Women,4,5,58.0,2926.17,0.0,191793.37,46.4,9,2,9,0,9,2,20.0,17.17,37.8,37.8,39.8,34.0,46.0,0.0,5.8
CP001,Accessories,Hustle,Women,5,5,36.2,2681.4,0.0,115330.36,28.4,7,2,1,0,9,1,8.0,8.0,58.0,47.9,44.53,36.73,26.6,10.1,7.8
CP001,Accessories,Hustle,Women,6,5,43.4,2801.48,0.0,137595.45,35.0,8,1,0,0,9,0,0.0,0.0,36.2,47.1,44.0,37.07,33.6,-10.9,6.93
CP001,Accessories,Hustle,Women,7,5,49.4,2934.78,0.0,162375.55,40.4,8,0,0,0,9,2,14.0,13.0,43.4,39.8,45.87,42.83,39.8,3.6,3.03
CP001,Accessories,Hustle,Women,8,5,23.8,3105.78,0.18,78170.08,18.2,5,0,0,21,9,2,19.0,16.5,49.4,46.4,43.0,43.77,22.6,3.0,-0.77
CP001,Accessories,Hustle,Women,9,5,35.2,2817.32,0.0,106967.83,27.0,7,0,0,5,8,0,0.0,0.0,23.8,36.6,38.87,41.43,26.6,-12.8,-2.57
CP001,Accessories,Hustle,Women,10,5,38.4,2818.54,0.0,116169.66,30.6,8,1,0,0,9,0,0.0,0.0,35.2,29.5,36.13,41.0,32.6,5.7,-4.87
CP001,Accessories,Hustle,Women,11,5,34.6,2559.53,0.0,96326.82,26.6,7,0,0,0,9,1,23.0,21.75,38.4,36.8,32.47,37.73,29.0,1.6,-5.27
CP001,Accessories,Hustle,Women,12,5,53.6,2587.5,0.0,164722.69,41.6,9,1,6,0,9,3,24.0,19.6,34.6,36.5,36.07,37.47,41.6,-1.9,-1.4
CP001,Accessories,King Street,Men,1,5,32.4,3146.28,0.0,106584.26,25.6,6,0,0,10,9,1,11.0,10.0,36.6,34.1,29.07,29.47,24.8,2.5,-0.4
CP001,Accessories,King Street,Men,2,5,35.6,3005.49,0.0,110136.76,29.2,6,1,0,0,8,0,0.0,0.0,32.4,31.4,31.47,28.73,27.6,1.0,2.73
CP001,Accessories,King Street,Men,3,5,37.4,2783.66,0.0,111010.82,29.4,7,0,0,0,9,0,0.0,0.0,35.6,34.0,30.93,28.37,27.6,1.6,2.57
CP001,Accessories,King Street,Men,4,5,52.4,2735.36,0.0,141227.43,41.4,7,2,9,0,9,1,10.0,9.33,37.4,36.5,35.13,28.87,41.6,0.9,6.27
CP001,Accessories,King Street,Men,5,5,31.8,2803.22,0.0,88505.68,24.2,5,2,1,0,9,1,12.0,11.5,52.4,44.9,41.8,32.13,27.6,7.5,9.67
CP001,Accessories,King Street,Men,6,5,39.8,3215.97,0.0,132449.31,31.2,7,1,0,0,9,0,0.0,0.0,31.8,42.1,40.53,30.8,31.8,-10.3,9.73
CP001,Accessories,King Street,Men,7,5,33.8,2942.51,0.0,104982.4,26.2,7,0,0,0,9,2,14.0,12.17,39.8,35.8,41.33,38.23,30.6,4.0,3.1
CP001,Accessories,King Street,Men,8,5,42.0,2766.11,0.0,117885.26,32.4,6,0,0,21,9,2,13.0,10.67,33.8,36.8,35.13,38.47,32.2,-3.0,-3.33
CP001,Accessories,King Street,Men,9,5,34.6,2640.92,0.0,98025.62,26.4,6,0,0,5,8,0,0.0,0.0,42.0,37.9,38.53,39.53,26.8,4.1,-1.0
CP001,Accessories,King Street,Men,10,5,27.0,3166.37,0.0,91585.42,20.4,6,1,0,0,9,0,0.0,0.0,34.6,38.3,36.8,39.07,19.0,-3.7,-2.27
CP001,Accessories,King Street,Men,11,5,36.8,3027.42,0.0,111463.36,30.4,5,0,0,0,9,1,12.0,10.5,27.0,30.8,34.53,34.83,31.6,-3.8,-0.3
CP001,Accessories,King Street,Men,12,5,44.0,3226.35,0.0,148780.98,35.6,7,1,6,0,9,2,23.0,19.5,36.8,31.9,32.8,35.67,36.6,4.9,-2.87
CP001,Accessories,King Street,Unisex,1,5,12.4,2653.16,0.0,33800.05,9.8,3,0,0,10,9,0,3.0,2.5,17.6,14.9,14.73,12.43,11.2,2.7,2.3
CP001,Accessories,King Street,Unisex,2,5,12.8,2845.06,0.0,37627.16,9.4,3,1,0,0,8,0,0.0,0.0,12.4,13.0,12.73,12.43,12.0,-0.6,0.3
CP001,Accessories,King Street,Unisex,3,4,16.75,2718.32,0.0,46210.86,12.5,3,0,0,0,9,0,0.0,0.0,14.75,13.75,12.5,12.0,13.5,1.0,0.5
CP001,Accessories,King Street,Unisex,4,5,14.4,2797.05,0.0,42044.52,11.6,2,2,9,0,9,1,11.0,11.0,14.4,14.2,13.87,12.27,9.0,0.2,1.6
CP001,Accessories,King Street,Unisex,5,5,17.4,2698.71,0.0,49075.39,13.8,3,2,1,0,9,1,5.0,4.5,14.4,14.4,14.27,12.03,12.4,0.0,2.23
CP001,Accessories,King Street,Unisex,6,5,19.4,3049.17,0.0,58526.34,13.8,3,1,0,0,9,0,0.0,0.0,17.4,15.9,15.4,12.73,13.6,1.5,2.67
CP001,Accessories,King Street,Unisex,7,5,12.0,2677.61,0.0,34075.87,8.4,3,0,0,0,9,1,9.0,8.33,19.4,18.4,17.07,15.47,11.0,1.0,1.6
CP001,Accessories,King Street,Unisex,8,5,12.8,2586.29,0.0,35508.81,10.0,3,0,0,21,9,0,4.0,4.0,12.0,15.7,16.27,15.27,10.0,-3.7,1.0
CP001,Accessories,King Street,Unisex,9,5,13.8,2774.95,0.0,40270.71,10.2,3,0,0,5,8,0,0.0,0.0,12.8,12.4,14.73,15.07,11.6,0.4,-0.33
CP001,Accessories,King Street,Unisex,10,5,17.8,2524.64,0.0,46605.76,14.4,3,1,0,0,9,0,0.0,0.0,13.8,13.3,12.87,14.97,14.6,0.5,-2.1
CP001,Accessories,King Street,Unisex,11,5,15.2,2766.44,0.0,42494.65,11.4,3,0,0,0,9,1,16.0,15.0,17.8,15.8,14.8,15.53,9.2,2.0,-0.73
CP001,Accessories,King Street,Unisex,12,5,19.4,2837.19,0.0,55250.83,15.4,3,1,6,0,9,2,21.0,20.5,15.2,16.5,15.6,15.17,19.8,-1.3,0.43
CP001,Accessories,King Street,Women,1,5,21.6,3358.86,0.0,76888.03,17.6,5,0,0,10,9,1,11.0,10.67,18.4,16.6,15.8,18.33,14.4,1.8,-2.53
CP001,Accessories,King Street,Women,2,5,26.6,3313.97,0.0,95631.27,21.8,4,1,0,0,8,0,0.0,0.0,21.6,18.3,17.13,17.93,21.0,3.3,-0.8
CP001,Accessories,King Street,Women,3,5,24.2,3284.27,0.0,89245.05,20.8,5,0,0,0,9,0,0.0,0.0,26.6,24.1,19.2,18.57,16.0,2.5,0.63
CP001,Accessories,King Street,Women,4,5,19.8,3328.78,0.0,74046.7,16.4,4,2,9,0,9,1,10.0,8.5,24.2,25.4,24.13,18.23,15.4,-1.2,5.9
CP001,Accessories,King Street,Women,5,5,27.8,3311.74,0.0,97643.57,22.8,5,2,1,0,9,1,7.0,7.0,19.8,22.0,23.53,18.67,21.8,-2.2,4.87
CP001,Accessories,King Street,Women,6,5,19.6,3200.98,0.0,67948.64,16.6,5,1,0,0,9,0,0.0,0.0,27.8,23.8,23.93,20.13,12.0,4.0,3.8
CP001,Accessories,King Street,Women,7,5,25.4,3101.26,0.0,82179.9,20.0,5,0,0,0,9,1,14.0,13.17,19.6,23.7,22.4,23.27,20.6,-4.1,-0.87
CP001,Accessories,King Street,Women,8,5,20.0,3229.12,0.0,68752.67,15.2,5,0,0,21,9,1,14.0,13.5,25.4,22.5,24.27,23.9,17.2,2.9,0.37
CP001,Accessories,King Street,Women,9,5,27.6,3424.05,0.0,107366.6,22.4,5,0,0,5,8,0,0.0,0.0,20.0,22.7,21.67,22.8,24.8,-2.7,-1.13
CP001,Accessories,King Street,Women,10,5,14.8,3073.77,0.0,50791.71,12.0,4,1,0,0,9,0,0.0,0.0,27.6,23.8,24.33,23.37,14.2,3.8,0.97
CP001,Accessories,King Street,Women,11,5,20.6,3138.97,0.0,71860.1,17.2,5,0,0,0,9,1,18.0,16.67,14.8,21.2,20.8,22.53,14.8,-6.4,-1.73
CP001,Accessories,King Street,Women,12,5,29.2,3188.58,0.0,99429.01,23.2,4,1,6,0,9,2,16.0,11.73,20.6,17.7,21.0,21.33,18.4,2.9,-0.33
CP001,Accessories,Libera,Men,1,2,2.5,306.58,0.0,766.45,2.0,1,0,0,10,9,0,0.0,0.0,1.0,1.0,0.83,1.0,1.0,0.0,-0.17
CP001,Accessories,Libera,Men,2,5,3.0,306.58,0.0,919.74,2.2,1,1,0,0,8,0,0.0,0.0,3.8,2.9,2.47,2.07,1.0,0.9,0.4
CP001,Accessories,Libera,Men,3,3,3.0,306.58,0.0,919.74,2.0,1,0,0,0,9,0,0.0,0.0,3.0,2.33,2.44,2.17,2.0,0.67,0.28
CP001,Accessories,Libera,Men,4,1,3.0,306.58,0.0,919.74,2.0,1,2,9,0,8,0,0.0,0.0,3.0,2.0,2.33,1.83,1.0,1.0,0.5
CP001,Accessories,Libera,Men,5,4,1.0,306.58,0.0,306.58,1.0,1,2,1,0,9,0,0.0,0.0,3.25,3.5,1.92,1.79,1.5,-0.25,0.13
CP001,Accessories,Libera,Men,6,3,2.0,306.58,0.0,613.16,1.67,1,1,0,0,9,0,0.0,0.0,1.0,2.33,2.78,1.44,2.33,-1.33,1.33
CP001,Accessories,Libera,Men,7,2,1.0,306.58,0.0,306.58,1.0,1,0,0,0,9,0,0.0,0.0,1.0,1.25,2.0,2.25,1.5,-0.25,-0.25
CP001,Accessories,Libera,Men,8,3,2.0,306.58,0.0,613.16,1.33,1,0,0,21,9,0,0.0,0.0,2.0,3.0,3.22,1.94,1.33,-1.0,1.28
CP001,Accessories,Libera,Men,9,1,2.0,306.58,0.0,613.16,1.0,1,0,0,5,8,0,0.0,0.0,2.0,2.0,4.67,4.0,0.0,0.0,0.67
CP001,Accessories,Libera,Men,10,4,1.75,306.58,0.0,536.52,1.25,1,1,0,0,9,0,0.0,0.0,1.75,1.75,1.92,2.17,1.75,0.0,-0.25
CP001,Accessories,Libera,Men,11,3,4.33,306.58,0.0,1328.51,3.0,1,0,0,0,8,0,0.0,0.0,2.0,1.83,1.89,2.83,4.67,0.17,-0.94
CP001,Accessories,Libera,Men,12,4,4.5,306.58,0.0,1379.61,3.5,1,1,6,0,8,0,0.0,0.0,3.5,2.62,2.25,2.71,3.0,0.88,-0.46
CP001,Accessories,Libera,Unisex,1,5,14.0,2749.73,0.0,39742.33,8.6,4,0,0,10,9,1,10.0,9.0,10.6,12.7,10.8,10.6,12.0,-2.1,0.2
CP001,Accessories,Libera,Unisex,2,5,12.4,2216.53,0.0,31485.79,9.4,3,1,0,0,8,0,0.0,0.0,14.0,10.3,11.8,10.6,8.8,3.7,1.2
CP001,Accessories,Libera,Unisex,3,5,11.6,2427.76,0.0,28670.31,7.6,4,0,0,0,9,0,0.0,0.0,12.4,13.2,9.53,9.87,10.0,-0.8,-0.33
CP001,Accessories,Libera,Unisex,4,5,17.8,2302.79,0.0,41722.2,12.8,4,2,9,0,9,1,14.0,13.0,11.6,12.0,12.67,9.87,15.0,-0.4,2.8
CP001,Accessories,Libera,Unisex,5,5,15.8,2488.1,0.0,41107.95,11.4,5,2,1,0,9,1,8.0,8.0,17.8,14.7,13.93,11.13,13.0,3.1,2.8
CP001,Accessories,Libera,Unisex,6,5,13.6,3037.15,0.0,39078.38,9.2,4,1,0,0,9,0,0.0,0.0,15.8,16.8,15.07,10.77,9.8,-1.0,4.3
CP001,Accessories,Libera,Unisex,7,5,15.2,2596.34,0.0,40886.95,9.8,4,0,0,0,9,1,6.0,5.25,13.6,14.7,15.73,14.2,10.0,-1.1,1.53
CP001,Accessories,Libera,Unisex,8,5,14.8,1933.75,0.3,31328.4,11.2,5,0,0,21,9,1,16.0,15.5,15.2,14.4,14.87,14.4,12.4,0.8,0.47
CP001,Accessories,Libera,Unisex,9,5,10.6,2291.6,0.0,24098.77,7.2,4,0,0,5,8,0,0.0,0.0,14.8,15.0,14.53,14.8,8.8,-0.2,-0.27
CP001,Accessories,Libera,Unisex,10,5,8.8,2852.5,0.0,24640.92,5.6,4,1,0,0,9,0,0.0,0.0,10.6,12.7,13.53,14.63,7.0,-2.1,-1.1
CP001,Accessories,Libera,Unisex,11,5,16.6,2790.15,0.0,44212.13,10.0,4,0,0,0,9,0,4.0,4.0,8.8,9.7,11.4,13.13,14.8,-0.9,-1.73
CP001,Accessories,Libera,Unisex,12,5,13.6,2464.93,0.0,34307.18,9.4,4,1,6,0,9,2,27.0,24.9,16.6,12.7,12.0,13.27,10.6,3.9,-1.27
CP001,Accessories,Libera,Women,1,5,18.2,2710.75,0.0,52852.98,15.0,3,0,0,10,9,1,5.0,5.0,16.4,15.3,15.47,13.4,13.0,1.1,2.07
CP001,Accessories,Libera,Women,2,5,17.6,2676.49,0.0,47793.3,14.4,3,1,0,0,8,0,0.0,0.0,18.2,16.3,15.6,14.47,15.2,1.9,1.13
CP001,Accessories,Libera,Women,3,5,14.8,2734.28,0.0,43717.91,11.8,3,0,0,0,9,0,0.0,0.0,17.6,17.9,14.07,14.07,13.8,-0.3,0.0
CP001,Accessories,Libera,Women,4,5,22.6,2769.88,0.0,69048.61,17.4,4,2,9,0,9,1,16.0,13.83,14.8,16.2,16.87,14.23,18.4,-1.4,2.63
CP001,Accessories,Libera,Women,5,5,19.6,2765.1,0.0,60620.46,15.2,4,2,1,0,9,1,6.0,5.67,22.6,18.7,18.33,14.93,14.8,3.9,3.4
CP001,Accessories,Libera,Women,6,5,21.2,2804.58,0.0,63163.59,17.2,4,1,0,0,9,0,0.0,0.0,19.6,21.1,19.0,14.93,17.2,-1.5,4.07
CP001,Accessories,Libera,Women,7,5,13.6,2699.46,0.67,38784.54,9.6,3,0,0,0,9,2,18.0,16.25,21.2,20.4,21.13,19.0,9.8,0.8,2.13
CP001,Accessories,Libera,Women,8,5,18.4,2655.68,0.0,53642.92,14.6,4,0,0,21,9,1,11.0,11.0,13.6,17.4,18.13,18.23,12.0,-3.8,-0.1
CP001,Accessories,Libera,Women,9,5,15.8,3060.15,0.0,53169.1,13.8,3,0,0,5,8,0,0.0,0.0,18.4,16.0,17.73,18.37,12.2,2.4,-0.63
CP001,Accessories,Libera,Women,10,5,18.2,2885.01,0.0,54488.96,14.4,4,1,0,0,9,0,0.0,0.0,15.8,17.1,15.93,18.53,15.8,-1.3,-2.6
CP001,Accessories,Libera,Women,11,5,19.8,2708.03,0.0,54274.31,15.2,4,0,0,0,9,1,6.0,4.67,18.2,17.0,17.47,17.8,14.2,1.2,-0.33
CP001,Accessories,Libera,Women,12,5,21.6,2941.91,1.33,70417.11,16.8,3,1,6,0,9,2,22.0,21.08,19.8,19.0,17.93,17.83,16.4,0.8,0.1
CP001,Accessories,Miss Modano,Men,1,5,53.0,2395.86,0.2,116596.38,44.0,6,0,0,10,9,2,11.0,10.5,54.4,44.0,44.27,44.37,42.2,10.4,-0.1
CP001,Accessories,Miss Modano,Men,2,5,49.2,2166.39,0.0,110108.86,40.2,6,1,0,0,8,0,0.0,0.0,53.0,47.3,42.73,45.13,33.0,5.7,-2.4
CP001,Accessories,Miss Modano,Men,3,5,43.8,2167.18,0.0,91379.01,35.4,5,0,0,0,9,0,0.0,0.0,49.2,51.1,42.53,43.77,27.2,-1.9,-1.23
CP001,Accessories,Miss Modano,Men,4,5,65.0,2377.41,0.25,144643.99,52.6,7,2,9,0,9,2,18.0,13.0,43.8,46.5,48.67,39.97,54.8,-2.7,8.7
