month_period,store_id,category,brand,gender,monthly_units_sold,avg_price_lkr,avg_promotion_percent,total_revenue,total_customer_count,unique_products_sold,holiday_days,festival_days,school_days,weekend_days,promotion_days,max_promotion_percent,avg_campaign_discount,month_date,year,month,quarter,previous_month_sales,previous_2_month_avg,previous_3_month_avg,previous_6_month_avg,same_month_last_year,sales_growth_1m,sales_growth_3m
2022-09,CP001,Accessories,Emerald,Men,26,3624.6020000000003,0.0,91324.69,23,4,0,0,5,8,0.0,0.0,0.0,2022-09-01,2022,9,3,15.0,20.0,22.666666666666668,26.166666666666668,24.0,-5.0,-3.5
2022-10,CP001,Accessories,Emerald,Men,28,4072.1460000000006,0.0,111378.96,23,3,1,0,0,10,0.0,0.0,0.0,2022-10-01,2022,10,4,26.0,20.5,22.0,25.333333333333332,23.0,5.5,-3.333333333333332
2022-11,CP001,Accessories,Emerald,Men,16,2066.6125,0.0,32986.29,13,4,0,0,0,8,1.0,20.0,20.0,2022-11-01,2022,11,4,28.0,27.0,23.0,27.0,36.0,1.0,-4.0
2022-12,CP001,Accessories,Emerald,Men,18,2775.66,0.0,44954.14,15,3,1,6,0,9,3.0,20.0,16.666666666666668,2022-12-01,2022,12,4,16.0,22.0,23.333333333333332,23.0,16.0,-6.0,0.33333333333333215
2023-01,CP001,Accessories,Emerald,Men,45,2977.856666666667,0.0,120035.32,36,6,0,0,10,9,0.0,0.0,0.0,2023-01-01,2023,1,1,18.0,17.0,20.666666666666668,21.333333333333332,26.0,1.0,-0.6666666666666643
2023-02,CP001,Accessories,Emerald,Men,47,2628.666666666667,0.0,133238.93,39,3,1,0,0,8,0.0,0.0,0.0,2023-02-01,2023,2,1,45.0,31.5,26.333333333333332,24.666666666666668,20.0,13.5,1.6666666666666643
2023-03,CP001,Accessories,Emerald,Men,52,3192.41375,0.0,161451.37,45,5,0,0,0,8,0.0,0.0,0.0,2023-03-01,2023,3,1,47.0,46.0,36.666666666666664,30.0,31.0,1.0,6.666666666666664
2023-04,CP001,Accessories,Emerald,Men,34,2637.2342857142858,0.0,91886.69,28,4,2,9,0,10,1.0,25.0,25.0,2023-04-01,2023,4,2,52.0,49.5,48.0,34.333333333333336,18.0,2.5,13.666666666666664
2023-05,CP001,Accessories,Emerald,Men,22,2316.0375,0.0,48098.45,18,3,2,1,0,8,0.0,0.0,0.0,2023-05-01,2023,5,2,34.0,43.0,44.333333333333336,35.333333333333336,40.0,-9.0,9.0
2023-06,CP001,Accessories,Emerald,Men,5,2966.71,0.0,11476.97,4,2,1,0,0,8,0.0,0.0,0.0,2023-06-01,2023,6,2,22.0,28.0,36.0,36.333333333333336,28.0,-6.0,-0.3333333333333357
2023-07,CP001,Accessories,Emerald,Men,7,3125.316666666667,0.0,20599.75,6,3,0,0,0,10,0.0,0.0,0.0,2023-07-01,2023,7,3,5.0,13.5,20.333333333333332,34.166666666666664,25.0,-8.5,-13.833333333333332
2023-08,CP001,Accessories,Emerald,Men,65,3070.2410000000004,0.0,201230.6,55,5,0,0,21,8,2.0,20.0,15.0,2023-08-01,2023,8,3,7.0,6.0,11.333333333333334,27.833333333333332,15.0,1.0,-16.5
2023-09,CP001,Accessories,Emerald,Men,18,3758.7850000000003,0.0,65831.66,15,2,0,0,5,9,0.0,0.0,0.0,2023-09-01,2023,9,3,65.0,36.0,25.666666666666668,30.833333333333332,26.0,29.0,-5.166666666666664
2023-10,CP001,Accessories,Emerald,Men,63,3299.064166666667,0.0,208118.07,54,5,1,0,0,9,0.0,0.0,0.0,2023-10-01,2023,10,4,18.0,41.5,30.0,25.166666666666668,28.0,-23.5,4.833333333333332
2023-11,CP001,Accessories,Emerald,Men,31,2316.34,0.0,72370.01,24,4,0,0,0,8,0.0,0.0,0.0,2023-11-01,2023,11,4,63.0,40.5,48.666666666666664,30.0,16.0,22.5,18.666666666666664
2023-12,CP001,Accessories,Emerald,Men,40,2004.438,5.0,81863.94,30,4,1,6,0,10,4.0,25.0,20.0,2023-12-01,2023,12,4,31.0,47.0,37.333333333333336,31.5,18.0,-16.0,5.833333333333336
2024-01,CP001,Accessories,Emerald,Men,31,3259.308,0.0,99244.26,22,4,0,0,10,8,3.0,15.0,15.0,2024-01-01,2024,1,1,40.0,35.5,44.666666666666664,37.333333333333336,45.0,4.5,7.333333333333329
2024-02,CP001,Accessories,Emerald,Men,27,2772.655,0.0,70157.25,24,4,1,0,0,8,0.0,0.0,0.0,2024-02-01,2024,2,1,31.0,35.5,34.0,41.333333333333336,47.0,-4.5,-7.333333333333336
2024-03,CP001,Accessories,Emerald,Men,29,3378.757142857143,0.0,103351.47,25,4,0,0,0,10,0.0,0.0,0.0,2024-03-01,2024,3,1,27.0,29.0,32.666666666666664,35.0,52.0,-2.0,-2.3333333333333357
2024-04,CP001,Accessories,Emerald,Men,12,2156.38,0.0,16011.22,9,3,2,9,0,8,0.0,0.0,0.0,2024-04-01,2024,4,2,29.0,28.0,29.0,36.833333333333336,34.0,1.0,-7.833333333333336
2024-05,CP001,Accessories,Emerald,Men,37,2869.6825,0.0,100238.95,28,6,2,1,0,8,0.0,0.0,0.0,2024-05-01,2024,5,2,12.0,20.5,22.666666666666668,28.333333333333332,22.0,-8.5,-5.666666666666664
2024-06,CP001,Accessories,Emerald,Men,28,2915.6233333333334,0.0,76032.2,24,4,1,0,0,10,0.0,0.0,0.0,2024-06-01,2024,6,2,37.0,24.5,26.0,29.333333333333332,5.0,12.5,-3.333333333333332
2024-07,CP001,Accessories,Emerald,Men,22,2553.4557142857143,0.0,53795.11,17,5,0,0,0,8,0.0,0.0,0.0,2024-07-01,2024,7,3,28.0,32.5,25.666666666666668,27.333333333333332,7.0,-4.5,-1.6666666666666643
2024-08,CP001,Accessories,Emerald,Men,22,3063.4683333333337,0.0,55702.119999999995,19,5,0,0,21,9,1.0,15.0,15.0,2024-08-01,2024,8,3,22.0,25.0,29.0,25.833333333333332,65.0,-3.0,3.166666666666668
2024-09,CP001,Accessories,Emerald,Men,25,1953.7916666666667,0.0,27599.44,22,4,0,0,5,9,0.0,0.0,0.0,2024-09-01,2024,9,3,22.0,22.0,24.0,25.0,18.0,0.0,-1.0
2024-10,CP001,Accessories,Emerald,Men,19,2628.6666666666665,0.0,48335.08,15,3,1,0,0,8,0.0,0.0,0.0,2024-10-01,2024,10,4,25.0,23.5,23.0,24.333333333333332,63.0,1.5,-1.3333333333333321
2024-11,CP001,Accessories,Emerald,Men,26,2410.0842857142857,0.0,52651.14,21,4,0,0,0,9,1.0,30.0,30.0,2024-11-01,2024,11,4,19.0,22.0,22.0,25.5,31.0,-3.0,-3.5
2024-12,CP001,Accessories,Emerald,Men,49,2166.4577777777777,0.0,67760.39,42,5,1,6,0,9,5.0,30.0,25.0,2024-12-01,2024,12,4,26.0,22.5,23.333333333333332,23.666666666666668,40.0,3.5,-0.3333333333333357
2025-01,CP001,Accessories,Emerald,Men,64,3629.857,0.0,236375.95,51,5,0,0,10,8,1.0,10.0,10.0,2025-01-01,2025,1,1,49.0,37.5,31.333333333333332,27.166666666666668,31.0,11.5,4.166666666666664
2025-02,CP001,Accessories,Emerald,Men,57,2153.161111111111,0.0,120253.21,49,4,1,0,0,8,0.0,0.0,0.0,2025-02-01,2025,2,1,64.0,56.5,46.333333333333336,34.166666666666664,27.0,7.5,12.166666666666671
2025-03,CP001,Accessories,Emerald,Men,9,4378.795,0.0,41461.73,6,2,0,0,0,10,0.0,0.0,0.0,2025-03-01,2025,3,1,57.0,60.5,56.666666666666664,40.0,29.0,-3.5,16.666666666666664
2025-04,CP001,Accessories,Emerald,Men,32,2681.6340000000005,0.0,86834.22,30,3,2,9,0,8,1.0,10.0,10.0,2025-04-01,2025,4,2,9.0,33.0,43.333333333333336,37.333333333333336,12.0,-24.0,6.0
2025-05,CP001,Accessories,Emerald,Men,36,3811.3020000000006,0.0,138067.59,31,2,2,1,0,9,3.0,15.0,11.666666666666666,2025-05-01,2025,5,2,32.0,20.5,32.666666666666664,39.5,37.0,11.5,-6.833333333333336
2025-06,CP001,Accessories,Emerald,Men,40,1813.66,0.0,67996.74,33,3,1,0,0,9,0.0,0.0,0.0,2025-06-01,2025,6,2,36.0,34.0,25.666666666666668,41.166666666666664,28.0,2.0,-15.499999999999996
2025-07,CP001,Accessories,Emerald,Men,44,2577.5885714285714,0.0,104474.95,35,5,0,0,0,8,1.0,20.0,20.0,2025-07-01,2025,7,3,40.0,38.0,36.0,39.666666666666664,22.0,2.0,-3.6666666666666643
2025-08,CP001,Accessories,Emerald,Men,27,3331.1220000000003,0.0,89878.67,24,5,0,0,21,10,0.0,0.0,0.0,2025-08-01,2025,8,3,44.0,42.0,40.0,36.333333333333336,22.0,2.0,3.6666666666666643
2025-09,CP001,Accessories,Emerald,Men,52,2019.8433333333335,0.0,113288.92,38,2,0,0,5,8,0.0,0.0,0.0,2025-09-01,2025,9,3,27.0,35.5,37.0,31.333333333333332,25.0,-8.5,5.666666666666668
2025-10,CP001,Accessories,Emerald,Men,21,2992.8925000000004,0.0,52789.08,17,4,1,0,0,8,0.0,0.0,0.0,2025-10-01,2025,10,4,52.0,39.5,41.0,38.5,19.0,12.5,2.5
2025-11,CP001,Accessories,Emerald,Men,52,2912.7636363636366,0.0,157655.49,46,4,0,0,0,10,3.0,30.0,26.666666666666668,2025-11-01,2025,11,4,21.0,36.5,33.333333333333336,36.666666666666664,26.0,-15.5,-3.3333333333333286
2025-12,CP001,Accessories,Emerald,Men,20,4063.1966666666667,0.0,78828.64,17,2,1,6,0,8,0.0,0.0,0.0,2025-12-01,2025,12,4,52.0,36.5,41.666666666666664,39.333333333333336,49.0,15.5,2.3333333333333286
2021-01,CP001,Accessories,Emerald,Unisex,79,2067.0209999999997,0.0,174697.7,68,9,0,0,10,10,1.0,10.0,10.0,2021-01-01,2021,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,CP001,Accessories,Emerald,Unisex,52,1814.1738461538464,0.0,111702.42,40,10,1,0,0,8,0.0,0.0,0.0,2021-02-01,2021,2,1,79.0,0.0,0.0,0.0,0.0,79.0,0.0
2021-03,CP001,Accessories,Emerald,Unisex,54,2388.22625,0.0,118651.55,42,11,0,0,0,8,0.0,0.0,0.0,2021-03-01,2021,3,1,52.0,65.5,0.0,0.0,0.0,-13.5,0.0
2021-04,CP001,Accessories,Emerald,Unisex,53,2513.1107142857145,0.0,124486.37,43,10,2,9,0,8,10.0,25.0,19.0,2021-04-01,2021,4,2,54.0,53.0,61.666666666666664,0.0,0.0,1.0,61.666666666666664
2021-05,CP001,Accessories,Emerald,Unisex,41,2146.222307692308,0.0,80476.17,30,9,2,1,0,10,5.0,15.0,11.0,2021-05-01,2021,5,2,53.0,53.5,53.0,0.0,0.0,-0.5,53.0
2021-06,CP001,Accessories,Emerald,Unisex,47,2059.7866666666664,0.0,92191.89,35,10,1,0,0,8,0.0,0.0,0.0,2021-06-01,2021,6,2,41.0,47.0,49.333333333333336,0.0,0.0,-6.0,49.333333333333336
2021-07,CP001,Accessories,Emerald,Unisex,65,1871.7922222222223,0.0,125597.05,51,11,0,0,0,9,3.0,20.0,18.333333333333332,2021-07-01,2021,7,3,47.0,44.0,47.0,54.333333333333336,0.0,3.0,-7.333333333333336
2021-08,CP001,Accessories,Emerald,Unisex,48,2158.8283333333334,0.0,104828.41,35,7,0,0,21,9,1.0,10.0,10.0,2021-08-01,2021,8,3,65.0,56.0,51.0,52.0,0.0,9.0,-1.0
2021-09,CP001,Accessories,Emerald,Unisex,71,2161.6809523809525,0.0,155681.66999999998,50,11,0,0,5,8,0.0,0.0,0.0,2021-09-01,2021,9,3,48.0,56.5,53.333333333333336,51.333333333333336,0.0,-8.5,2.0
2021-10,CP001,Accessories,Emerald,Unisex,58,2284.7166666666667,0.0,127278.32,49,11,1,0,0,10,0.0,0.0,0.0,2021-10-01,2021,10,4,71.0,59.5,61.333333333333336,54.166666666666664,0.0,11.5,7.166666666666671
2021-11,CP001,Accessories,Emerald,Unisex,41,1914.6463636363637,0.0,73039.85,32,7,0,0,0,8,2.0,25.0,25.0,2021-11-01,2021,11,4,58.0,64.5,59.0,55.0,0.0,-6.5,4.0
2021-12,CP001,Accessories,Emerald,Unisex,74,2312.1895,0.0,163272.5,61,10,1,6,0,8,1.0,15.0,15.0,2021-12-01,2021,12,4,41.0,49.5,56.666666666666664,55.0,0.0,-8.5,1.6666666666666643
2022-01,CP001,Accessories,Emerald,Unisex,43,1858.5307692307692,0.0,72609.92,31,8,0,0,10,10,3.0,15.0,11.666666666666666,2022-01-01,2022,1,1,74.0,57.5,57.666666666666664,59.5,79.0,16.5,-1.8333333333333357
2022-02,CP001,Accessories,Emerald,Unisex,31,1827.882,0.0,52086.37,24,9,1,0,0,8,0.0,0.0,0.0,2022-02-01,2022,2,1,43.0,58.5,52.666666666666664,55.833333333333336,52.0,-15.5,-3.1666666666666714
2022-03,CP001,Accessories,Emerald,Unisex,44,2360.26,0.0,108342.43,33,7,0,0,0,8,0.0,0.0,0.0,2022-03-01,2022,3,1,31.0,37.0,49.333333333333336,53.0,54.0,-6.0,-3.6666666666666643
2022-04,CP001,Accessories,Emerald,Unisex,37,2625.238888888889,0.0,81584.8,29,7,2,9,0,9,3.0,25.0,21.666666666666668,2022-04-01,2022,4,2,44.0,37.5,39.333333333333336,48.5,53.0,6.5,-9.166666666666664
2022-05,CP001,Accessories,Emerald,Unisex,57,2066.809333333333,0.0,118734.37,40,9,2,1,0,9,1.0,10.0,10.0,2022-05-01,2022,5,2,37.0,40.5,37.333333333333336,45.0,41.0,-3.5,-7.666666666666664
2022-06,CP001,Accessories,Emerald,Unisex,75,2241.9872222222225,0.0,161590.24,57,11,1,0,0,8,0.0,0.0,0.0,2022-06-01,2022,6,2,57.0,47.0,46.0,47.666666666666664,47.0,10.0,-1.6666666666666643
2022-07,CP001,Accessories,Emerald,Unisex,59,2551.566470588235,0.0,132444.57,48,10,0,0,0,10,2.0,20.0,17.5,2022-07-01,2022,7,3,75.0,66.0,56.333333333333336,47.833333333333336,65.0,9.0,8.5
2022-08,CP001,Accessories,Emerald,Unisex,25,1965.1333333333334,0.0,49876.33,17,8,0,0,21,8,3.0,20.0,16.666666666666668,2022-08-01,2022,8,3,59.0,67.0,63.666666666666664,50.5,48.0,-8.0,13.166666666666664
2022-09,CP001,Accessories,Emerald,Unisex,38,2092.411818181818,0.0,78367.37,31,8,0,0,5,8,0.0,0.0,0.0,2022-09-01,2022,9,3,25.0,42.0,53.0,49.5,71.0,-17.0,3.5
2022-10,CP001,Accessories,Emerald,Unisex,56,1951.642,0.0,114086.27,42,9,1,0,0,10,0.0,0.0,0.0,2022-10-01,2022,10,4,38.0,31.5,40.666666666666664,48.5,58.0,6.5,-7.833333333333336
2022-11,CP001,Accessories,Emerald,Unisex,38,2203.582222222222,0.0,93245.15,32,7,0,0,0,8,5.0,30.0,22.0,2022-11-01,2022,11,4,56.0,47.0,39.666666666666664,51.666666666666664,41.0,9.0,-12.0
2022-12,CP001,Accessories,Emerald,Unisex,46,1922.4081818181817,0.0,94806.96,40,9,1,6,0,9,4.0,30.0,25.0,2022-12-01,2022,12,4,38.0,47.0,44.0,48.5,74.0,-9.0,-4.5
2023-01,CP001,Accessories,Emerald,Unisex,68,1603.5144444444445,0.0,116186.3,60,10,0,0,10,9,1.0,15.0,15.0,2023-01-01,2023,1,1,46.0,42.0,46.666666666666664,43.666666666666664,43.0,4.0,3.0
2023-02,CP001,Accessories,Emerald,Unisex,40,2426.31,0.0,95435.86,33,9,1,0,0,8,0.0,0.0,0.0,2023-02-01,2023,2,1,68.0,57.0,50.666666666666664,45.166666666666664,31.0,11.0,5.5
2023-03,CP001,Accessories,Emerald,Unisex,35,2071.1777777777775,0.0,57622.369999999995,24,8,0,0,0,8,0.0,0.0,0.0,2023-03-01,2023,3,1,40.0,54.0,51.333333333333336,47.666666666666664,44.0,-14.0,3.6666666666666714
2023-04,CP001,Accessories,Emerald,Unisex,112,2599.5304545454546,0.0,302514.19,90,11,2,9,0,10,5.0,25.0,19.0,2023-04-01,2023,4,2,35.0,37.5,47.666666666666664,47.166666666666664,37.0,-2.5,0.5
2023-05,CP001,Accessories,Emerald,Unisex,47,1973.7592307692307,0.0,85530.71,36,9,2,1,0,8,2.0,15.0,12.5,2023-05-01,2023,5,2,112.0,73.5,62.333333333333336,56.5,57.0,38.5,5.833333333333336
2023-06,CP001,Accessories,Emerald,Unisex,63,2705.820588235294,0.0,173384.19,51,10,1,0,0,8,0.0,0.0,0.0,2023-06-01,2023,6,2,47.0,79.5,64.66666666666667,58.0,75.0,-32.5,6.666666666666671
2023-07,CP001,Accessories,Emerald,Unisex,77,2284.335263157895,0.7894736842105263,165968.58,62,13,0,0,0,10,1.0,15.0,15.0,2023-07-01,2023,7,3,63.0,55.0,74.0,60.833333333333336,59.0,8.0,13.166666666666664
2023-08,CP001,Accessories,Emerald,Unisex,62,2593.819411764706,0.0,158474.9,52,10,0,0,21,8,0.0,0.0,0.0,2023-08-01,2023,8,3,77.0,70.0,62.333333333333336,62.333333333333336,25.0,7.0,0.0
2023-09,CP001,Accessories,Emerald,Unisex,77,2430.7873684210526,0.0,184235.88,63,11,0,0,5,9,0.0,0.0,0.0,2023-09-01,2023,9,3,62.0,69.5,67.33333333333333,66.0,38.0,-7.5,1.3333333333333286
2023-10,CP001,Accessories,Emerald,Unisex,34,2391.1736363636364,0.0,78090.78,28,9,1,0,0,9,0.0,0.0,0.0,2023-10-01,2023,10,4,77.0,69.5,72.0,73.0,56.0,7.5,-1.0
2023-11,CP001,Accessories,Emerald,Unisex,30,2354.74,0.0,57407.36,24,7,0,0,0,8,1.0,30.0,30.0,2023-11-01,2023,11,4,34.0,55.5,57.666666666666664,60.0,38.0,-21.5,-2.3333333333333357
2023-12,CP001,Accessories,Emerald,Unisex,51,2303.6309090909094,0.0,108519.69,41,10,1,6,0,10,4.0,30.0,21.25,2023-12-01,2023,12,4,30.0,32.0,47.0,57.166666666666664,46.0,-2.0,-10.166666666666664
2024-01,CP001,Accessories,Emerald,Unisex,63,2269.057777777778,0.8333333333333334,159753.35,49,10,0,0,10,8,1.0,15.0,15.0,2024-01-01,2024,1,1,51.0,40.5,38.333333333333336,55.166666666666664,68.0,10.5,-16.83333333333333
2024-02,CP001,Accessories,Emerald,Unisex,31,2650.684,0.0,79393.19,25,7,1,0,0,8,0.0,0.0,0.0,2024-02-01,2024,2,1,63.0,57.0,48.0,52.833333333333336,40.0,6.0,-4.833333333333336
2024-03,CP001,Accessories,Emerald,Unisex,61,2601.27,0.0,159202.51,50,10,0,0,0,10,0.0,0.0,0.0,2024-03-01,2024,3,1,31.0,47.0,48.333333333333336,47.666666666666664,35.0,-16.0,0.6666666666666714
2024-04,CP001,Accessories,Emerald,Unisex,66,2643.6228571428574,0.0,148916.75,54,10,2,9,0,8,2.0,25.0,20.0,2024-04-01,2024,4,2,61.0,46.0,51.666666666666664,45.0,112.0,15.0,6.666666666666664
2024-05,CP001,Accessories,Emerald,Unisex,63,2410.17875,0.0,142209.75,52,11,2,1,0,8,1.0,15.0,15.0,2024-05-01,2024,5,2,66.0,63.5,52.666666666666664,50.333333333333336,47.0,2.5,2.3333333333333286
2024-06,CP001,Accessories,Emerald,Unisex,40,2555.6276923076925,0.0,105673.89,32,10,1,0,0,10,0.0,0.0,0.0,2024-06-01,2024,6,2,63.0,64.5,63.333333333333336,55.833333333333336,63.0,-1.5,7.5
2024-07,CP001,Accessories,Emerald,Unisex,40,1636.5908333333334,0.0,61749.82,30,7,0,0,0,8,5.0,15.0,14.0,2024-07-01,2024,7,3,40.0,51.5,56.333333333333336,54.0,77.0,-11.5,2.3333333333333357
2024-08,CP001,Accessories,Emerald,Unisex,71,3002.608823529412,0.0,205300.48,57,9,0,0,21,9,1.0,15.0,15.0,2024-08-01,2024,8,3,40.0,40.0,47.666666666666664,50.166666666666664,62.0,0.0,-2.5
2024-09,CP001,Accessories,Emerald,Unisex,59,2247.826153846154,0.0,139492.96,50,10,0,0,5,9,0.0,0.0,0.0,2024-09-01,2024,9,3,71.0,55.5,50.333333333333336,56.833333333333336,77.0,15.5,-6.5
2024-10,CP001,Accessories,Emerald,Unisex,52,1806.3066666666666,0.0,89271.89,43,8,1,0,0,8,0.0,0.0,0.0,2024-10-01,2024,10,4,59.0,65.0,56.666666666666664,56.5,34.0,-6.0,0.1666666666666643
2024-11,CP001,Accessories,Emerald,Unisex,66,2346.7046666666665,0.0,149695.2,56,9,0,0,0,9,2.0,25.0,22.5,2024-11-01,2024,11,4,52.0,55.5,60.666666666666664,54.166666666666664,30.0,-3.5,6.5
2024-12,CP001,Accessories,Emerald,Unisex,26,2390.1985714285715,0.0,43960.36,23,6,1,6,0,9,1.0,25.0,25.0,2024-12-01,2024,12,4,66.0,59.0,59.0,54.666666666666664,51.0,7.0,4.333333333333336
2025-01,CP001,Accessories,Emerald,Unisex,66,2278.772380952381,0.0,153619.57,52,12,0,0,10,8,1.0,15.0,15.0,2025-01-01,2025,1,1,26.0,46.0,48.0,52.333333333333336,63.0,-20.0,-4.333333333333336
2025-02,CP001,Accessories,Emerald,Unisex,57,2440.913636363636,0.0,134726.89,48,8,1,0,0,8,0.0,0.0,0.0,2025-02-01,2025,2,1,66.0,46.0,52.666666666666664,56.666666666666664,31.0,20.0,-4.0
2025-03,CP001,Accessories,Emerald,Unisex,65,2369.0546666666664,0.0,145675.58000000002,54,11,0,0,0,10,0.0,0.0,0.0,2025-03-01,2025,3,1,57.0,61.5,49.666666666666664,54.333333333333336,61.0,-4.5,-4.666666666666671
2025-04,CP001,Accessories,Emerald,Unisex,79,2579.5316666666668,0.0,189806.95,62,6,2,9,0,8,7.0,20.0,17.142857142857142,2025-04-01,2025,4,2,65.0,61.0,62.666666666666664,55.333333333333336,66.0,4.0,7.333333333333329
2025-05,CP001,Accessories,Emerald,Unisex,50,2111.133333333333,0.0,96414.48000000001,40,9,2,1,0,9,3.0,10.0,10.0,2025-05-01,2025,5,2,79.0,72.0,67.0,59.833333333333336,63.0,7.0,7.166666666666664
2025-06,CP001,Accessories,Emerald,Unisex,48,1785.4225,0.0,83869.73,40,9,1,0,0,9,0.0,0.0,0.0,2025-06-01,2025,6,2,50.0,64.5,64.66666666666667,57.166666666666664,40.0,-14.5,7.500000000000007
2025-07,CP001,Accessories,Emerald,Unisex,55,2361.0625,0.0,130393.48,44,10,0,0,0,8,1.0,10.0,10.0,2025-07-01,2025,7,3,48.0,49.0,59.0,60.833333333333336,40.0,-1.0,-1.8333333333333357
2025-08,CP001,Accessories,Emerald,Unisex,88,2402.3822222222225,1.1111111111111112,223179.68,73,9,0,0,21,10,4.0,20.0,15.0,2025-08-01,2025,8,3,55.0,51.5,51.0,59.0,71.0,3.5,-8.0
