date,store_id,product_id,current_stock,reorder_level,max_stock,supplier_lead_time
2021-01-01,CP004,P0275,83,36,211,3
2021-01-01,CP004,P0369,82,13,121,5
2021-01-01,CP004,P0762,62,22,104,7
2021-01-01,CP004,P0216,211,35,356,5
2021-01-01,CP004,P0843,146,33,207,14
2021-01-01,CP004,P0670,72,17,119,3
2021-01-01,CP004,P0203,180,46,327,14
2021-01-01,CP004,P0712,160,33,239,3
2021-01-01,CP004,P0665,0,29,281,14
2021-01-01,CP004,P0166,291,68,550,10
2021-01-01,CP004,P0272,171,33,275,10
2021-01-01,CP004,P0559,36,8,85,3
2021-01-01,CP004,P0520,144,33,223,7
2021-01-01,CP004,P0330,20,5,30,7
2021-01-01,CP004,P0058,101,24,148,5
2021-01-01,CP004,P0016,173,32,224,14
2021-01-01,CP004,P0859,172,31,218,7
2021-01-01,CP004,P0231,65,9,79,10
2021-01-01,CP004,P0731,228,29,322,10
2021-01-01,CP004,P0106,94,15,164,3
2021-01-01,CP004,P0113,493,69,558,14
2021-01-01,CP004,P0858,54,20,131,7
2021-01-01,CP004,P0207,366,67,529,3
2021-01-01,CP004,P0029,19,5,33,10
2021-01-01,CP004,P0158,39,7,49,3
2021-01-01,CP005,P0609,439,63,545,10
2021-01-01,CP005,P0824,230,37,315,10
2021-01-01,CP005,P0689,44,10,83,7
2021-01-01,CP005,P0126,107,26,157,7
2021-01-01,CP005,P0594,110,22,167,10
2021-01-01,CP005,P0923,234,30,317,3
2021-01-01,CP005,P0888,268,81,513,7
2021-01-01,CP005,P0015,38,6,72,3
2021-01-01,CP005,P0751,439,77,575,10
2021-01-01,CP005,P0434,564,104,853,10
2021-01-01,CP005,P0268,121,27,248,10
2021-01-01,CP005,P0410,36,10,52,14
2021-01-01,CP005,P0496,184,35,310,10
2021-01-01,CP005,P0379,211,49,327,3
2021-01-01,CP005,P0252,205,48,318,10
2021-01-01,CP005,P0524,115,35,173,10
2021-01-01,CP005,P0717,147,20,197,3
2021-01-01,CP005,P0651,150,40,354,7
2021-01-01,CP005,P0028,2,7,47,5
2021-01-01,CP005,P0610,169,38,228,10
2021-01-01,CP005,P0338,193,37,298,7
2021-01-01,CP005,P0387,114,31,199,5
2021-01-01,CP005,P0688,134,24,182,3
2021-01-01,CP005,P0020,47,73,543,10
2021-01-01,CP006,P0924,450,171,895,14
2021-01-01,CP006,P0463,280,102,548,3
2021-01-01,CP006,P0157,17,38,221,5
2021-01-01,CP006,P0453,122,38,309,10
2021-01-01,CP006,P0925,286,71,511,7
2021-01-01,CP006,P0046,397,45,508,5
2021-01-01,CP006,P0960,283,41,463,7
2021-01-01,CP006,P0861,149,50,378,3
2021-01-01,CP006,P0705,73,40,174,3
2021-01-01,CP006,P0612,577,120,1295,3
2021-01-01,CP006,P0942,691,142,1266,7
2021-01-01,CP006,P0863,428,94,638,3
2021-01-01,CP006,P0299,100,22,167,3
2021-01-01,CP006,P0524,173,55,346,5
2021-01-01,CP006,P0462,461,125,664,14
2021-01-01,CP006,P0479,323,82,608,5
2021-01-01,CP006,P0077,125,27,303,7
2021-01-01,CP006,P0634,47,76,447,14
2021-01-01,CP006,P0450,274,51,490,14
2021-01-01,CP006,P0235,522,76,599,14
2021-01-01,CP006,P0629,157,58,315,5
2021-01-01,CP006,P0249,167,35,209,3
2021-01-01,CP006,P0980,182,75,364,7
2021-01-01,CP006,P0159,286,61,428,14
2021-01-01,CP006,P0815,390,74,502,10
2021-01-01,CP006,P0437,13,30,342,5
2021-01-01,CP006,P0381,385,75,569,14
2021-01-01,CP006,P0356,68,102,651,5
2021-01-01,CP006,P0725,363,129,921,5
2021-01-01,CP006,P0426,489,115,880,10
2021-01-01,CP006,P0289,672,107,1012,3
2021-01-01,CP006,P0274,283,64,582,14
2021-01-01,CP006,P0404,192,56,404,14
2021-01-01,CP006,P0253,178,54,299,10
2021-01-01,CP006,P0448,440,58,643,14
2021-01-01,CP006,P0627,59,16,84,14
2021-01-01,CP007,P0953,13,21,204,10
2021-01-01,CP007,P0650,20,6,39,10
2021-01-01,CP007,P0159,168,26,151,5
2021-01-01,CP007,P0502,78,23,136,5
2021-01-01,CP007,P0696,179,42,290,7
2021-01-01,CP007,P0666,98,22,161,5
2021-01-01,CP007,P0971,20,5,30,5
2021-01-01,CP007,P0492,151,19,131,14
2021-01-01,CP007,P0640,23,36,300,3
2021-01-01,CP007,P0518,118,25,165,14
2021-01-01,CP007,P0701,128,22,160,3
2021-01-01,CP007,P0456,24,5,40,5
2021-01-01,CP007,P0950,61,17,102,10
2021-01-01,CP007,P0396,63,21,134,7
2021-01-01,CP007,P0488,169,38,211,14
2021-01-01,CP007,P0623,154,25,269,7
2021-01-01,CP007,P0418,310,70,491,14
2021-01-01,CP007,P0470,411,48,532,10
2021-01-01,CP007,P0915,21,6,37,10
2021-01-01,CP007,P0832,235,35,310,7
2021-01-01,CP007,P0277,239,69,353,14
2021-01-01,CP007,P0910,268,50,456,7
2021-01-01,CP007,P0499,4,14,94,10
2021-01-01,CP007,P0695,70,17,116,10
2021-01-01,CP007,P0435,140,44,339,14
2021-01-01,CP007,P0638,0,30,223,7
2021-01-01,CP007,P0012,27,7,57,14
2021-01-01,CP007,P0443,84,20,108,14
2021-01-01,CP007,P0074,110,15,107,3
2021-01-01,CP007,P0163,116,25,210,10
2021-01-01,CP008,P0264,117,38,256,7
2021-01-01,CP008,P0479,253,42,387,5
2021-01-01,CP008,P0865,42,11,99,10
2021-01-01,CP008,P0749,203,27,256,5
2021-01-01,CP008,P0374,19,6,47,5
2021-01-01,CP008,P0811,97,20,161,7
2021-01-01,CP008,P0714,75,21,140,5
2021-01-01,CP008,P0339,337,68,387,3
2021-01-01,CP008,P0754,0,6,39,7
2021-01-01,CP008,P0503,119,43,281,10
2021-01-01,CP008,P0941,85,19,130,10
2021-01-01,CP008,P0373,114,29,191,10
2021-01-01,CP008,P0511,80,37,177,10
2021-01-01,CP008,P0474,67,18,116,3
2021-01-01,CP008,P0960,73,18,173,7
2021-01-01,CP008,P0376,57,20,142,7
2021-01-01,CP008,P0897,25,5,30,3
2021-01-01,CP008,P0899,95,26,226,3
2021-01-01,CP008,P0555,106,30,243,14
2021-01-01,CP008,P0483,186,33,247,3
2021-01-01,CP008,P0433,12,16,114,7
2021-01-01,CP008,P0260,370,66,529,7
2021-01-01,CP008,P0003,225,59,398,7
2021-01-01,CP008,P0394,61,15,118,10
2021-01-01,CP008,P0685,100,17,152,5
2021-01-01,CP008,P0848,120,34,163,5
2021-01-01,CP008,P0528,0,6,67,7
2021-01-01,CP008,P0544,15,18,130,10
2021-01-01,CP008,P0944,221,36,322,10
2021-01-01,CP008,P0614,72,21,144,3
2021-01-02,CP001,P0463,466,82,655,10
2021-01-02,CP001,P0669,300,48,420,5
2021-01-02,CP001,P0487,148,38,374,5
2021-01-02,CP001,P0325,208,68,356,14
2021-01-02,CP001,P0424,38,19,93,7
2021-01-02,CP001,P0415,196,39,298,10
2021-01-02,CP001,P0975,171,53,317,10
2021-01-02,CP001,P0506,108,37,175,7
2021-01-02,CP001,P0867,15,28,246,7
2021-01-02,CP001,P0801,7,11,100,3
2021-01-02,CP001,P0681,395,64,539,14
2021-01-02,CP001,P0015,26,12,67,14
2021-01-02,CP001,P0509,192,60,425,14
2021-01-02,CP001,P0208,240,42,368,5
2021-01-02,CP001,P0603,193,34,335,5
2021-01-02,CP001,P0770,9,32,148,5
2021-01-02,CP001,P0201,104,28,139,3
2021-01-02,CP001,P0880,151,37,204,3
2021-01-02,CP001,P0096,58,15,106,14
2021-01-02,CP001,P0827,101,30,213,5
2021-01-02,CP001,P0272,221,53,482,7
2021-01-02,CP001,P0617,26,38,395,10
2021-01-02,CP001,P0141,173,31,366,10
2021-01-02,CP001,P0303,226,43,353,7
2021-01-02,CP001,P0128,161,53,410,10
2021-01-02,CP001,P0621,330,84,561,5
2021-01-02,CP001,P0204,555,108,1099,5
2021-01-02,CP001,P0982,49,15,122,14
2021-01-02,CP001,P0931,96,20,143,14
2021-01-02,CP001,P0845,36,60,431,3
2021-01-02,CP001,P0454,84,36,217,10
2021-01-02,CP001,P0024,162,26,212,7
2021-01-02,CP001,P0690,477,115,589,10
2021-01-02,CP002,P0019,333,89,599,7
2021-01-02,CP002,P0505,178,33,329,14
2021-01-02,CP002,P0794,50,9,74,5
2021-01-02,CP002,P0967,111,41,267,14
2021-01-02,CP002,P0232,25,5,30,3
2021-01-02,CP002,P0750,33,58,429,7
2021-01-02,CP002,P0398,283,30,229,14
2021-01-02,CP002,P0012,71,12,99,5
2021-01-02,CP002,P0355,331,107,608,7
2021-01-02,CP002,P0169,26,7,67,7
2021-01-02,CP002,P0884,188,53,373,7
2021-01-02,CP002,P0168,378,58,460,3
2021-01-02,CP002,P0245,198,42,386,14
2021-01-02,CP002,P0383,212,50,337,7
2021-01-02,CP002,P0846,49,15,124,7
2021-01-02,CP002,P0728,0,30,236,7
2021-01-02,CP002,P0138,53,13,96,5
2021-01-02,CP002,P0333,277,93,489,10
2021-01-02,CP002,P0409,155,38,297,5
2021-01-02,CP002,P0862,446,99,673,7
2021-01-02,CP002,P0456,26,7,56,5
2021-01-02,CP002,P0949,60,72,372,3
2021-01-02,CP002,P0091,224,27,280,7
2021-01-02,CP002,P0210,321,61,434,3
2021-01-02,CP002,P0882,854,98,788,5
2021-01-02,CP002,P0283,151,19,187,14
2021-01-02,CP002,P0920,662,125,1350,5
2021-01-02,CP002,P0799,673,97,780,7
2021-01-02,CP002,P0606,590,111,841,14
2021-01-02,CP002,P0421,142,62,275,7
2021-01-02,CP002,P0469,33,11,68,3
2021-01-02,CP002,P0350,46,9,72,14
2021-01-02,CP002,P0343,356,36,315,10
2021-01-02,CP002,P0164,490,80,616,3
2021-01-02,CP002,P0430,179,35,177,5
2021-01-02,CP003,P0210,152,57,270,7
2021-01-02,CP003,P0731,232,54,413,7
2021-01-02,CP003,P0521,16,24,165,3
2021-01-02,CP003,P0391,67,35,175,14
2021-01-02,CP003,P0851,122,20,164,7
2021-01-02,CP003,P0506,115,31,159,5
2021-01-02,CP003,P0698,131,30,206,7
2021-01-02,CP003,P0360,215,68,450,5
2021-01-02,CP003,P0011,238,73,541,7
2021-01-02,CP003,P0462,352,68,667,10
2021-01-02,CP003,P0910,418,69,788,14
2021-01-02,CP003,P0946,285,35,396,5
2021-01-02,CP003,P0112,120,32,269,3
2021-01-02,CP003,P0642,196,34,264,3
2021-01-02,CP003,P0558,347,101,592,7
2021-01-02,CP003,P0985,97,16,78,7
2021-01-02,CP003,P0611,111,24,205,5
2021-01-02,CP003,P0906,278,29,340,14
2021-01-02,CP003,P0505,174,37,288,14
2021-01-02,CP003,P0780,6,11,98,14
2021-01-02,CP003,P0532,319,60,428,7
2021-01-02,CP003,P0604,27,5,30,10
2021-01-02,CP003,P0175,95,24,128,10
2021-01-02,CP003,P0459,57,11,83,10
2021-01-02,CP003,P0968,271,49,371,10
2021-01-02,CP003,P0760,163,28,198,14
2021-01-02,CP003,P0886,26,5,30,5
2021-01-02,CP003,P0266,26,5,30,14
2021-01-02,CP003,P0101,579,78,709,10
2021-01-02,CP003,P0643,156,39,225,5
2021-01-02,CP003,P0956,66,15,99,3
2021-01-02,CP003,P0386,149,51,338,14
2021-01-02,CP003,P0974,38,9,48,3
2021-01-02,CP003,P0019,547,80,760,7
2021-01-02,CP003,P0443,16,23,181,10
2021-01-02,CP003,P0411,254,46,363,14
2021-01-02,CP003,P0692,145,23,191,10
2021-01-02,CP004,P0802,18,28,212,7
2021-01-02,CP004,P0870,132,34,304,14
2021-01-02,CP004,P0697,24,5,30,7
2021-01-02,CP004,P0099,91,15,160,5
2021-01-02,CP004,P0908,167,29,200,3
2021-01-02,CP004,P0997,89,18,140,7
2021-01-02,CP004,P0558,458,84,552,3
2021-01-02,CP004,P0511,125,42,280,7
2021-01-02,CP004,P0615,528,70,489,10
2021-01-02,CP004,P0553,169,28,244,5
2021-01-02,CP004,P0720,28,6,41,7
2021-01-02,CP004,P0051,72,24,163,10
2021-01-02,CP004,P0156,314,23,254,14
2021-01-02,CP004,P0798,58,25,124,10
2021-01-02,CP004,P0540,26,5,30,5
2021-01-02,CP004,P0685,146,16,127,7
2021-01-02,CP004,P0439,139,34,186,3
2021-01-02,CP004,P0831,90,28,140,3
2021-01-02,CP004,P0073,57,19,115,5
2021-01-02,CP004,P0102,215,41,270,7
2021-01-02,CP004,P0572,105,32,233,5
2021-01-02,CP004,P0736,176,31,227,14
2021-01-02,CP004,P0487,23,30,213,3
2021-01-02,CP004,P0002,97,21,151,7
2021-01-02,CP004,P0531,24,36,215,3
2021-01-02,CP005,P0102,257,58,415,7
2021-01-02,CP005,P0919,242,32,324,10
2021-01-02,CP005,P0521,86,18,173,5
2021-01-02,CP005,P0771,140,25,220,5
2021-01-02,CP005,P0843,201,50,383,10
2021-01-02,CP005,P0581,136,24,257,3
2021-01-02,CP005,P0532,242,60,385,14
2021-01-02,CP005,P0699,11,19,161,5
2021-01-02,CP005,P0037,423,67,564,10
2021-01-02,CP005,P0963,99,17,147,10
2021-01-02,CP005,P0921,25,5,30,10
2021-01-02,CP005,P0665,82,26,207,14
2021-01-02,CP005,P0493,199,32,304,7
2021-01-02,CP005,P0323,11,24,218,7
2021-01-02,CP005,P0595,0,44,364,7
2021-01-02,CP005,P0949,160,51,376,5
2021-01-02,CP005,P0455,373,76,597,5
2021-01-02,CP005,P0190,110,29,227,3
2021-01-02,CP005,P0298,100,22,154,5
2021-01-02,CP005,P0313,27,5,30,5
2021-01-02,CP005,P0063,134,29,248,7
2021-01-02,CP005,P0269,191,23,191,3
2021-01-02,CP005,P0376,123,35,207,7
2021-01-02,CP005,P0223,291,32,262,3
2021-01-02,CP005,P0007,178,29,165,5
2021-01-02,CP005,P0124,121,26,228,5
2021-01-02,CP005,P0429,99,23,149,14
2021-01-02,CP005,P0334,27,5,30,5
2021-01-02,CP005,P0427,182,30,239,3
2021-01-02,CP005,P0910,425,73,610,5
2021-01-02,CP005,P0496,180,35,310,10
2021-01-02,CP005,P0845,243,49,378,3
2021-01-02,CP006,P0488,68,90,766,5
2021-01-02,CP006,P0855,1199,144,1401,10
2021-01-02,CP006,P0586,12,40,262,7
2021-01-02,CP006,P0410,76,17,129,5
2021-01-02,CP006,P0006,190,54,379,7
2021-01-02,CP006,P0191,12,45,370,5
2021-01-02,CP006,P0154,244,63,299,5
2021-01-02,CP006,P0958,1074,129,1326,7
2021-01-02,CP006,P0644,75,16,115,7
2021-01-02,CP006,P0613,29,51,389,14
2021-01-02,CP006,P0060,167,47,367,14
2021-01-02,CP006,P0846,48,21,123,3
2021-01-02,CP006,P0083,22,57,320,7
2021-01-02,CP006,P0969,135,28,327,7
2021-01-02,CP006,P0113,369,139,709,7
2021-01-02,CP006,P0802,234,64,515,3
2021-01-02,CP006,P0974,56,10,83,14
2021-01-02,CP006,P0771,260,42,388,7
2021-01-02,CP006,P0633,196,51,324,5
2021-01-02,CP006,P0722,15,34,240,5
2021-01-02,CP006,P0512,240,48,309,7
2021-01-02,CP006,P0038,45,17,84,10
2021-01-02,CP006,P0699,160,30,271,14
2021-01-02,CP006,P0202,318,73,599,14
2021-01-02,CP007,P0743,136,37,318,10
2021-01-02,CP007,P0443,83,20,108,14
2021-01-02,CP007,P0738,147,44,330,3
2021-01-02,CP007,P0799,420,54,510,10
2021-01-02,CP007,P0958,418,63,538,3
2021-01-02,CP007,P0030,252,38,309,3
2021-01-02,CP007,P0517,52,14,79,5
2021-01-02,CP007,P0711,126,26,165,10
2021-01-02,CP007,P0630,537,82,771,10
2021-01-02,CP007,P0298,46,17,106,3
2021-01-02,CP007,P0696,176,42,290,7
2021-01-02,CP007,P0990,107,37,187,14
2021-01-02,CP007,P0943,24,5,30,7
2021-01-02,CP007,P0624,26,5,30,10
2021-01-02,CP007,P0692,137,22,176,10
2021-01-02,CP007,P0876,106,25,171,5
2021-01-02,CP007,P0258,107,35,272,7
2021-01-02,CP007,P0847,130,14,114,5
2021-01-02,CP007,P0713,450,86,599,14
2021-01-02,CP007,P0762,71,17,128,14
2021-01-02,CP007,P0366,82,14,103,5
2021-01-02,CP007,P0386,146,36,207,3
2021-01-02,CP007,P0553,19,30,205,5
2021-01-02,CP007,P0839,324,72,374,10
2021-01-02,CP007,P0158,41,8,55,7
2021-01-02,CP008,P0926,277,40,264,10
2021-01-02,CP008,P0173,370,52,546,3
2021-01-02,CP008,P0697,28,5,30,3
2021-01-02,CP008,P0567,203,49,247,7
2021-01-02,CP008,P0818,349,58,592,3
2021-01-02,CP008,P0206,115,18,155,7
2021-01-02,CP008,P0658,24,6,50,10
2021-01-02,CP008,P0510,26,8,46,14
2021-01-02,CP008,P0303,68,24,127,3
2021-01-02,CP008,P0142,213,27,267,5
2021-01-02,CP008,P0576,87,18,155,10
2021-01-02,CP008,P0373,111,29,191,10
2021-01-02,CP008,P0306,50,11,62,10
2021-01-02,CP008,P0579,26,5,30,3
2021-01-02,CP008,P0570,67,14,95,7
2021-01-02,CP008,P0479,251,42,387,5
2021-01-02,CP008,P0740,149,31,278,3
2021-01-02,CP008,P0790,100,22,166,14
2021-01-02,CP008,P0011,273,58,445,14
2021-01-02,CP008,P0048,92,16,170,5
2021-01-02,CP008,P0912,81,17,119,14
2021-01-02,CP008,P0033,70,15,94,10
2021-01-02,CP008,P0987,47,7,70,3
2021-01-02,CP008,P0440,89,36,174,5
2021-01-02,CP008,P0183,4,13,88,7
2021-01-02,CP008,P0016,102,22,180,3
2021-01-02,CP008,P0556,84,16,135,10
2021-01-03,CP001,P0620,144,35,204,7
2021-01-03,CP001,P0404,308,47,403,14
2021-01-03,CP001,P0685,113,26,179,7
2021-01-03,CP001,P0141,167,31,366,10
2021-01-03,CP001,P0205,44,60,350,14
2021-01-03,CP001,P0906,128,40,290,5
2021-01-03,CP001,P0051,312,41,399,5
2021-01-03,CP001,P0761,387,42,368,5
2021-01-03,CP001,P0003,482,86,713,14
2021-01-03,CP001,P0708,27,5,30,3
2021-01-03,CP001,P0254,23,5,30,3
2021-01-03,CP001,P0569,186,34,248,3
2021-01-03,CP001,P0243,151,31,190,14
2021-01-03,CP001,P0122,282,85,456,14
2021-01-03,CP001,P0793,26,5,30,14
2021-01-03,CP001,P0269,169,37,239,7
2021-01-03,CP001,P0777,23,5,30,3
2021-01-03,CP001,P0667,408,53,521,10
2021-01-03,CP001,P0470,399,85,687,14
2021-01-03,CP001,P0411,174,61,360,7
2021-01-03,CP001,P0480,98,30,176,7
2021-01-03,CP001,P0535,100,21,188,14
2021-01-03,CP001,P0655,123,64,293,5
2021-01-03,CP001,P0144,190,47,319,14
2021-01-03,CP001,P0253,254,36,335,5
2021-01-03,CP001,P0049,161,44,292,10
2021-01-03,CP001,P0881,56,13,74,14
2021-01-03,CP001,P0232,25,5,30,5
2021-01-03,CP001,P0472,247,42,300,5
2021-01-03,CP002,P0347,107,29,267,7
2021-01-03,CP002,P0276,26,5,30,14
2021-01-03,CP002,P0824,202,63,293,5
2021-01-03,CP002,P0806,80,20,106,7
2021-01-03,CP002,P0615,650,87,861,14
2021-01-03,CP002,P0954,25,5,30,5
2021-01-03,CP002,P0967,104,41,267,14
2021-01-03,CP002,P0148,333,64,718,5
2021-01-03,CP002,P0742,130,36,281,3
2021-01-03,CP002,P0868,116,34,194,14
2021-01-03,CP002,P0144,27,43,323,14
2021-01-03,CP002,P0181,64,8,59,7
2021-01-03,CP002,P0756,500,75,731,7
2021-01-03,CP002,P0951,870,119,803,14
2021-01-03,CP002,P0198,166,51,309,7
2021-01-03,CP002,P0006,246,40,389,3
2021-01-03,CP002,P0397,5,41,214,3
2021-01-03,CP002,P0717,169,33,221,5
2021-01-03,CP002,P0832,370,60,507,10
2021-01-03,CP002,P0390,482,70,819,7
2021-01-03,CP002,P0027,313,46,383,14
2021-01-03,CP002,P0625,697,74,788,14
2021-01-03,CP002,P0326,32,41,217,5
2021-01-03,CP002,P0553,149,41,362,3
2021-01-03,CP002,P0220,54,9,69,14
2021-01-03,CP002,P0703,126,35,276,7
2021-01-03,CP002,P0782,16,44,353,10
2021-01-03,CP002,P0700,209,72,448,3
2021-01-03,CP002,P0921,24,5,30,5
2021-01-03,CP002,P0216,230,49,351,5
2021-01-03,CP002,P0267,63,16,106,14
2021-01-03,CP002,P0240,185,28,257,10
2021-01-03,CP002,P0190,189,36,434,7
2021-01-03,CP002,P0041,9,17,142,14
2021-01-03,CP003,P0827,134,22,223,14
2021-01-03,CP003,P0493,159,33,199,7
2021-01-03,CP003,P0331,205,31,268,5
2021-01-03,CP003,P0499,95,19,136,5
2021-01-03,CP003,P0655,330,40,269,14
2021-01-03,CP003,P0425,150,28,238,3
2021-01-03,CP003,P0823,239,63,303,7
2021-01-03,CP003,P0461,104,38,262,5
2021-01-03,CP003,P0750,191,40,257,3
2021-01-03,CP003,P0394,132,24,204,7
2021-01-03,CP003,P0175,94,24,128,10
2021-01-03,CP003,P0651,194,49,403,5
2021-01-03,CP003,P0506,112,31,159,5
2021-01-03,CP003,P0616,127,28,190,14
2021-01-03,CP003,P0510,42,9,93,10
2021-01-03,CP003,P0672,95,29,202,3
2021-01-03,CP003,P0926,246,62,500,7
2021-01-03,CP003,P0347,159,28,284,10
2021-01-03,CP003,P0584,193,42,263,14
2021-01-03,CP003,P0977,65,20,143,5
2021-01-03,CP003,P0967,114,31,258,3
2021-01-03,CP003,P0527,113,22,211,14
2021-01-03,CP003,P0238,175,32,241,5
2021-01-03,CP003,P0713,817,95,1010,10
2021-01-03,CP003,P0974,37,9,48,3
2021-01-03,CP003,P0028,66,8,56,10
2021-01-03,CP003,P0464,406,38,369,5
2021-01-03,CP003,P0945,228,31,315,7
2021-01-03,CP003,P0092,119,35,183,14
2021-01-03,CP003,P0010,107,31,167,7
2021-01-03,CP003,P0611,109,24,205,5
2021-01-03,CP003,P0864,259,71,546,5
2021-01-03,CP004,P0310,94,26,186,5
2021-01-03,CP004,P0895,142,36,269,5
2021-01-03,CP004,P0264,125,45,245,10
2021-01-03,CP004,P0656,25,5,35,10
2021-01-03,CP004,P0875,28,5,30,5
2021-01-03,CP004,P0331,61,25,135,14
2021-01-03,CP004,P0751,313,70,599,10
2021-01-03,CP004,P0634,211,36,257,5
2021-01-03,CP004,P0927,1,19,217,10
2021-01-03,CP004,P0794,31,7,43,3
2021-01-03,CP004,P0015,44,5,56,5
2021-01-03,CP004,P0506,87,22,127,5
2021-01-03,CP004,P0172,156,25,215,7
2021-01-03,CP004,P0906,103,24,195,7
2021-01-03,CP004,P0778,138,29,201,5
2021-01-03,CP004,P0322,359,53,455,7
2021-01-03,CP004,P0054,205,84,399,7
2021-01-03,CP004,P0100,113,31,164,14
2021-01-03,CP004,P0863,313,60,375,14
2021-01-03,CP004,P0311,129,23,193,5
2021-01-03,CP004,P0876,107,25,237,5
2021-01-03,CP004,P0776,146,24,180,5
2021-01-03,CP004,P0606,50,83,446,10
2021-01-03,CP004,P0157,85,14,157,14
2021-01-03,CP004,P0412,212,30,281,5
2021-01-03,CP004,P0094,133,39,212,14
2021-01-03,CP004,P0422,56,13,84,7
2021-01-03,CP004,P0478,149,33,228,5
2021-01-03,CP004,P0079,150,23,240,7
2021-01-03,CP004,P0827,79,18,120,5
2021-01-03,CP004,P0673,84,23,144,5
2021-01-03,CP004,P0429,98,25,139,3
2021-01-03,CP004,P0057,201,40,277,3
2021-01-03,CP004,P0290,139,31,169,3
2021-01-03,CP004,P0524,3,30,277,7
2021-01-03,CP005,P0749,99,27,172,3
2021-01-03,CP005,P0127,125,27,253,3
2021-01-03,CP005,P0794,44,6,63,3
2021-01-03,CP005,P0961,335,73,662,3
2021-01-03,CP005,P0417,81,24,134,7
2021-01-03,CP005,P0520,77,33,183,5
2021-01-03,CP005,P0446,24,5,30,3
2021-01-03,CP005,P0161,26,5,30,5
2021-01-03,CP005,P0272,210,39,354,7
2021-01-03,CP005,P0366,74,20,157,3
2021-01-03,CP005,P0643,76,36,192,14
