inventory_id,store_id,product_id,current_stock,reorder_level,max_stock,supplier_lead_time,last_updated
INV000068,CP001,P0068,149,91,608,14,11/06/2026
INV000069,CP001,P0069,68,36,382,5,11/06/2026
INV000070,CP001,P0070,835,112,970,14,11/06/2026
INV000071,CP001,P0071,228,39,280,7,11/06/2026
INV000072,CP001,P0072,168,44,310,5,11/06/2026
INV000073,CP001,P0073,42,26,171,7,11/06/2026
INV000074,CP001,P0074,103,23,174,3,11/06/2026
INV000075,CP001,P0075,184,27,243,10,11/06/2026
INV000076,CP001,P0076,114,42,245,3,11/06/2026
INV000077,CP001,P0077,136,28,252,5,11/06/2026
INV000078,CP001,P0078,184,45,295,3,11/06/2026
INV000079,CP001,P0079,171,49,248,14,11/06/2026
INV000080,CP001,P0080,148,45,303,5,11/06/2026
INV000081,CP001,P0081,247,34,351,10,11/06/2026
INV000082,CP001,P0082,123,27,213,14,11/06/2026
INV000083,CP001,P0083,92,45,305,7,11/06/2026
INV000084,CP001,P0084,14,5,30,10,11/06/2026
INV000085,CP001,P0085,27,23,176,7,11/06/2026
INV000086,CP001,P0086,243,78,421,5,11/06/2026
INV000087,CP001,P0087,172,38,286,10,11/06/2026
INV000088,CP001,P0088,334,53,527,3,11/06/2026
INV000089,CP001,P0089,36,33,300,7,11/06/2026
INV000090,CP001,P0090,199,37,299,10,11/06/2026
INV000091,CP001,P0091,98,33,221,3,11/06/2026
INV000092,CP001,P0092,192,35,307,14,11/06/2026
INV000093,CP001,P0093,86,39,287,14,11/06/2026
INV000094,CP001,P0094,208,58,339,7,11/06/2026
INV000095,CP001,P0095,76,44,392,14,11/06/2026
INV000096,CP001,P0096,41,15,106,14,11/06/2026
INV000097,CP001,P0097,195,33,264,5,11/06/2026
INV000098,CP001,P0098,190,31,343,14,11/06/2026
INV000099,CP001,P0099,75,28,194,14,11/06/2026
INV000100,CP001,P0100,68,44,348,7,11/06/2026
INV000101,CP001,P0101,124,108,655,3,11/06/2026
INV000102,CP001,P0102,436,80,528,7,11/06/2026
INV000103,CP001,P0103,122,44,229,5,11/06/2026
INV000104,CP001,P0104,66,34,221,3,11/06/2026
INV000105,CP001,P0105,260,48,421,3,11/06/2026
INV000106,CP001,P0106,97,32,208,3,11/06/2026
INV000107,CP001,P0107,199,95,615,14,11/06/2026
INV000108,CP001,P0108,33,42,347,7,11/06/2026
INV000109,CP001,P0109,62,32,155,5,11/06/2026
INV000110,CP001,P0110,37,35,266,14,11/06/2026
INV000111,CP001,P0111,133,53,293,10,11/06/2026
INV000112,CP001,P0112,168,33,272,14,11/06/2026
INV000113,CP001,P0113,222,117,904,7,11/06/2026
INV000114,CP001,P0114,12,5,30,7,11/06/2026
INV000115,CP001,P0115,159,29,259,5,11/06/2026
INV000116,CP001,P0116,112,31,222,3,11/06/2026
INV000117,CP001,P0117,421,162,1031,10,11/06/2026
INV000118,CP001,P0118,13,5,30,3,11/06/2026
INV000119,CP001,P0119,107,37,265,3,11/06/2026
INV000120,CP001,P0120,62,13,104,14,11/06/2026
INV000121,CP001,P0121,134,52,395,14,11/06/2026
INV000122,CP001,P0122,389,85,456,14,11/06/2026
INV000123,CP001,P0123,161,32,253,10,11/06/2026
INV000124,CP001,P0124,207,39,369,14,11/06/2026
INV000125,CP001,P0125,253,61,466,14,11/06/2026
INV000126,CP001,P0126,188,37,251,3,11/06/2026
INV000127,CP001,P0127,187,41,352,14,11/06/2026
INV000128,CP001,P0128,74,53,410,10,11/06/2026
INV000129,CP001,P0129,275,46,416,14,11/06/2026
INV000130,CP001,P0130,116,40,386,10,11/06/2026
INV000131,CP001,P0131,182,55,310,5,11/06/2026
INV000132,CP001,P0132,288,51,487,14,11/06/2026
INV000133,CP001,P0133,150,44,291,3,11/06/2026
INV000134,CP001,P0134,145,53,304,14,11/06/2026
INV000135,CP001,P0135,129,49,242,5,11/06/2026
INV000136,CP001,P0136,42,9,75,14,11/06/2026
INV000137,CP001,P0137,125,42,222,10,11/06/2026
INV000138,CP001,P0138,101,11,129,5,11/06/2026
INV000139,CP001,P0139,311,34,347,10,11/06/2026
INV000140,CP001,P0140,287,41,488,10,11/06/2026
INV000141,CP001,P0141,119,31,366,10,11/06/2026
INV000142,CP001,P0142,344,61,470,7,11/06/2026
INV000143,CP001,P0143,37,14,109,5,11/06/2026
INV000144,CP001,P0144,163,47,319,14,11/06/2026
INV000145,CP001,P0145,228,50,437,7,11/06/2026
INV000146,CP001,P0146,117,65,566,3,11/06/2026
INV000147,CP001,P0147,106,99,803,14,11/06/2026
INV000148,CP001,P0148,191,96,547,5,11/06/2026
INV000149,CP001,P0149,42,41,238,10,11/06/2026
INV000150,CP001,P0150,89,32,216,5,11/06/2026
INV000151,CP001,P0151,91,21,136,7,11/06/2026
INV000152,CP001,P0152,30,29,179,3,11/06/2026
INV000153,CP001,P0153,351,104,641,7,11/06/2026
INV000154,CP001,P0154,141,49,409,5,11/06/2026
INV000155,CP001,P0155,165,42,302,14,11/06/2026
INV000156,CP001,P0156,70,43,268,14,11/06/2026
INV000157,CP001,P0157,206,32,263,5,11/06/2026
INV000158,CP001,P0158,60,14,123,14,11/06/2026
INV000159,CP001,P0159,310,55,316,14,11/06/2026
INV000160,CP001,P0160,214,53,274,5,11/06/2026
INV000161,CP001,P0161,7,5,30,14,11/06/2026
INV000162,CP001,P0162,219,50,407,5,11/06/2026
INV000163,CP001,P0163,276,37,340,10,11/06/2026
INV000164,CP001,P0164,628,64,675,14,11/06/2026
INV000165,CP001,P0165,187,54,432,7,11/06/2026
INV000166,CP001,P0166,327,98,593,10,11/06/2026
INV000167,CP001,P0167,118,34,255,10,11/06/2026
INV000168,CP001,P0168,109,51,358,3,11/06/2026
INV000169,CP001,P0169,24,10,59,5,11/06/2026
INV000170,CP001,P0170,167,61,386,5,11/06/2026
INV000171,CP001,P0171,598,70,609,7,11/06/2026
INV000172,CP001,P0172,42,53,354,14,11/06/2026
INV000173,CP001,P0173,449,96,874,10,11/06/2026
INV000174,CP001,P0174,244,38,397,3,11/06/2026
INV000175,CP001,P0175,54,29,257,7,11/06/2026
INV000176,CP001,P0176,15,11,117,14,11/06/2026
INV000177,CP001,P0177,94,37,305,7,11/06/2026
INV000178,CP001,P0178,63,53,270,7,11/06/2026
INV000179,CP001,P0179,257,29,267,14,11/06/2026
INV000180,CP001,P0180,127,38,285,5,11/06/2026
INV000181,CP001,P0181,27,10,80,10,11/06/2026
INV000182,CP001,P0182,9,8,49,14,11/06/2026
INV000183,CP001,P0183,111,27,135,7,11/06/2026
INV000184,CP001,P0184,150,33,207,7,11/06/2026
INV000185,CP001,P0185,90,72,383,7,11/06/2026
INV000186,CP001,P0186,418,52,486,10,11/06/2026
INV000187,CP001,P0187,356,153,819,14,11/06/2026
INV000188,CP001,P0188,132,54,331,14,11/06/2026
INV000189,CP001,P0189,25,13,137,5,11/06/2026
INV000190,CP001,P0190,210,49,440,5,11/06/2026
INV000191,CP001,P0191,198,42,388,5,11/06/2026
INV000192,CP001,P0192,460,149,796,14,11/06/2026
INV000193,CP001,P0193,262,44,471,10,11/06/2026
INV000194,CP001,P0194,174,32,222,14,11/06/2026
INV000195,CP001,P0195,135,56,349,3,11/06/2026
INV000196,CP001,P0196,215,82,530,7,11/06/2026
INV000197,CP001,P0197,65,40,235,7,11/06/2026
INV000198,CP001,P0198,87,62,396,3,11/06/2026
INV000199,CP001,P0199,105,76,731,5,11/06/2026
INV000200,CP001,P0200,32,28,255,10,11/06/2026
INV000201,CP001,P0201,108,28,139,3,11/06/2026
INV000202,CP001,P0202,309,54,550,3,11/06/2026
INV000203,CP001,P0203,257,73,516,3,11/06/2026
INV000204,CP001,P0204,468,108,1099,5,11/06/2026
INV000205,CP001,P0205,71,60,350,14,11/06/2026
INV000206,CP001,P0206,123,34,274,5,11/06/2026
INV000207,CP001,P0207,266,110,842,5,11/06/2026
INV000208,CP001,P0208,205,42,368,5,11/06/2026
INV000209,CP001,P0209,130,47,226,7,11/06/2026
INV000210,CP001,P0210,54,58,527,5,11/06/2026
INV000211,CP001,P0211,118,36,206,7,11/06/2026
INV000212,CP001,P0212,206,54,419,5,11/06/2026
INV000213,CP001,P0213,28,30,258,10,11/06/2026
INV000214,CP001,P0214,210,44,265,3,11/06/2026
INV000215,CP001,P0215,301,56,437,3,11/06/2026
INV000216,CP001,P0216,259,67,395,3,11/06/2026
INV000217,CP001,P0217,48,46,305,7,11/06/2026
INV000218,CP001,P0218,64,13,90,3,11/06/2026
INV000219,CP001,P0219,158,45,417,7,11/06/2026
INV000220,CP001,P0220,39,11,70,5,11/06/2026
INV000221,CP001,P0221,191,31,226,10,11/06/2026
INV000222,CP001,P0222,315,57,338,7,11/06/2026
INV000223,CP001,P0223,44,44,296,7,11/06/2026
INV000224,CP001,P0224,101,25,263,7,11/06/2026
INV000225,CP001,P0225,58,59,355,14,11/06/2026
INV000226,CP001,P0226,13,5,30,3,11/06/2026
INV000227,CP001,P0227,92,11,134,14,11/06/2026
INV000228,CP001,P0228,35,11,92,14,11/06/2026
INV000229,CP001,P0229,55,13,88,5,11/06/2026
INV000230,CP001,P0230,157,87,424,14,11/06/2026
INV000231,CP001,P0231,55,18,109,5,11/06/2026
INV000232,CP001,P0232,13,5,30,5,11/06/2026
INV000233,CP001,P0233,211,49,408,10,11/06/2026
INV000234,CP001,P0234,83,38,326,7,11/06/2026
INV000235,CP001,P0235,75,56,447,10,11/06/2026
INV000236,CP001,P0236,210,35,250,5,11/06/2026
INV000237,CP001,P0237,61,30,157,3,11/06/2026
INV000238,CP001,P0238,163,47,336,3,11/06/2026
INV000239,CP001,P0239,70,61,442,3,11/06/2026
INV000240,CP001,P0240,107,27,302,14,11/06/2026
INV000241,CP001,P0241,57,9,85,10,11/06/2026
INV000242,CP001,P0242,94,37,272,14,11/06/2026
INV000243,CP001,P0243,73,31,190,14,11/06/2026
INV000244,CP001,P0244,14,5,30,5,11/06/2026
INV000245,CP001,P0245,114,43,268,14,11/06/2026
INV000246,CP001,P0246,267,52,299,7,11/06/2026
INV000247,CP001,P0247,137,66,510,7,11/06/2026
INV000248,CP001,P0248,44,16,149,5,11/06/2026
INV000249,CP001,P0249,102,30,227,5,11/06/2026
INV000250,CP001,P0250,17,13,67,3,11/06/2026
INV000251,CP001,P0251,302,36,366,14,11/06/2026
INV000252,CP001,P0252,435,79,529,3,11/06/2026
INV000253,CP001,P0253,148,36,335,5,11/06/2026
INV000254,CP001,P0254,28,5,30,3,11/06/2026
INV000255,CP001,P0255,145,52,299,14,11/06/2026
INV000256,CP001,P0256,11,5,30,5,11/06/2026
INV000257,CP001,P0257,107,17,150,7,11/06/2026
INV000258,CP001,P0258,277,46,359,14,11/06/2026
INV000259,CP001,P0259,6,7,49,7,11/06/2026
INV000260,CP001,P0260,519,116,695,10,11/06/2026
INV000261,CP001,P0261,156,56,356,10,11/06/2026
INV000262,CP001,P0262,51,31,357,5,11/06/2026
INV000263,CP001,P0263,410,81,569,5,11/06/2026
INV000264,CP001,P0264,186,76,432,14,11/06/2026
INV000265,CP001,P0265,97,36,303,5,11/06/2026
INV000266,CP001,P0266,14,5,30,5,11/06/2026
INV000267,CP001,P0267,37,16,132,3,11/06/2026
INV000268,CP001,P0268,109,46,279,7,11/06/2026
INV000269,CP001,P0269,116,37,239,7,11/06/2026
INV000270,CP001,P0270,449,114,799,10,11/06/2026
INV000271,CP001,P0271,43,27,242,5,11/06/2026
INV000272,CP001,P0272,200,53,482,7,11/06/2026
INV000273,CP001,P0273,94,41,351,5,11/06/2026
INV000274,CP001,P0274,76,51,272,7,11/06/2026
INV000275,CP001,P0275,366,42,495,10,11/06/2026
INV000276,CP001,P0276,10,5,30,10,11/06/2026
INV000277,CP001,P0277,325,127,603,14,11/06/2026
INV000278,CP001,P0278,84,44,238,14,11/06/2026
INV000279,CP001,P0279,208,76,388,14,11/06/2026
INV000280,CP001,P0280,54,16,99,7,11/06/2026
INV000281,CP001,P0281,242,35,299,14,11/06/2026
INV000282,CP001,P0282,162,34,257,10,11/06/2026
INV000283,CP001,P0283,47,24,122,3,11/06/2026
INV000284,CP001,P0284,186,26,277,10,11/06/2026
INV000285,CP001,P0285,51,46,341,10,11/06/2026
INV000286,CP001,P0286,319,96,935,10,11/06/2026
INV000287,CP001,P0287,198,96,474,3,11/06/2026
INV000288,CP001,P0288,501,93,610,5,11/06/2026
INV000289,CP001,P0289,260,99,716,5,11/06/2026
INV000290,CP001,P0290,214,47,471,5,11/06/2026
INV000291,CP001,P0291,458,67,627,14,11/06/2026
INV000292,CP001,P0292,183,32,256,3,11/06/2026
INV000293,CP001,P0293,601,107,718,3,11/06/2026
INV000294,CP001,P0294,200,90,559,14,11/06/2026
INV000295,CP001,P0295,76,23,118,10,11/06/2026
INV000296,CP001,P0296,171,43,348,7,11/06/2026
INV000297,CP001,P0297,84,16,106,14,11/06/2026
INV000298,CP001,P0298,63,28,252,10,11/06/2026
INV000299,CP001,P0299,31,18,113,7,11/06/2026
INV000300,CP001,P0300,67,15,121,10,11/06/2026
INV000301,CP001,P0301,168,63,601,10,11/06/2026
INV000302,CP001,P0302,190,49,475,5,11/06/2026
INV000303,CP001,P0303,136,43,353,7,11/06/2026
INV000304,CP001,P0304,459,96,690,7,11/06/2026
INV000305,CP001,P0305,54,9,84,5,11/06/2026
INV000306,CP001,P0306,98,17,168,10,11/06/2026
INV000307,CP001,P0307,15,5,30,7,11/06/2026
INV000308,CP001,P0308,98,96,573,5,11/06/2026
INV000309,CP001,P0309,85,34,221,10,11/06/2026
INV000310,CP001,P0310,191,47,250,10,11/06/2026
INV000311,CP001,P0311,190,55,296,14,11/06/2026
INV000312,CP001,P0312,227,37,380,14,11/06/2026
INV000313,CP001,P0313,28,5,30,5,11/06/2026
INV000314,CP001,P0314,226,117,1226,7,11/06/2026
INV000315,CP001,P0315,228,30,327,14,11/06/2026
INV000316,CP001,P0316,40,52,268,10,11/06/2026
INV000317,CP001,P0317,181,89,783,14,11/06/2026
INV000318,CP001,P0318,74,12,109,5,11/06/2026
INV000319,CP001,P0319,130,48,287,14,11/06/2026
INV000320,CP001,P0320,95,92,492,10,11/06/2026
INV000321,CP001,P0321,254,45,359,7,11/06/2026
INV000322,CP001,P0322,402,68,595,14,11/06/2026
INV000323,CP001,P0323,95,47,239,7,11/06/2026
INV000324,CP001,P0324,298,87,444,7,11/06/2026
INV000325,CP001,P0325,153,68,356,14,11/06/2026
INV000326,CP001,P0326,160,34,288,3,11/06/2026
INV000327,CP001,P0327,29,49,473,10,11/06/2026
INV000328,CP001,P0328,197,34,255,10,11/06/2026
INV000329,CP001,P0329,167,29,254,5,11/06/2026
INV000330,CP001,P0330,7,5,30,10,11/06/2026
INV000331,CP001,P0331,65,37,211,14,11/06/2026
INV000332,CP001,P0332,121,55,305,7,11/06/2026
INV000333,CP001,P0333,412,101,712,3,11/06/2026
INV000334,CP001,P0334,14,5,30,7,11/06/2026
INV000335,CP001,P0335,104,41,318,10,11/06/2026
INV000336,CP001,P0336,31,13,61,7,11/06/2026
INV000337,CP001,P0337,179,85,491,14,11/06/2026
INV000338,CP001,P0338,327,61,369,3,11/06/2026
INV000339,CP001,P0339,319,116,793,7,11/06/2026
INV000340,CP001,P0340,193,23,213,10,11/06/2026
INV000341,CP001,P0341,88,34,214,5,11/06/2026
INV000342,CP001,P0342,330,147,1024,10,11/06/2026
INV000343,CP001,P0343,91,35,378,10,11/06/2026
INV000344,CP001,P0344,203,57,393,7,11/06/2026
INV000345,CP001,P0345,71,45,387,10,11/06/2026
INV000346,CP001,P0346,462,68,702,10,11/06/2026
INV000347,CP001,P0347,56,42,315,5,11/06/2026
INV000348,CP001,P0348,132,44,233,7,11/06/2026
INV000349,CP001,P0349,34,37,224,5,11/06/2026
INV000350,CP001,P0350,9,8,75,10,11/06/2026
INV000351,CP001,P0351,133,27,199,5,11/06/2026
INV000352,CP001,P0352,579,110,650,10,11/06/2026
INV000353,CP001,P0353,243,43,281,5,11/06/2026
INV000354,CP001,P0354,293,36,417,7,11/06/2026
INV000355,CP001,P0355,714,85,843,3,11/06/2026
INV000356,CP001,P0356,121,64,524,5,11/06/2026
INV000357,CP001,P0357,35,25,168,7,11/06/2026
INV000358,CP001,P0358,296,51,411,3,11/06/2026
INV000359,CP001,P0359,97,34,191,14,11/06/2026
INV000360,CP001,P0360,113,71,674,5,11/06/2026
INV000361,CP001,P0361,111,19,201,3,11/06/2026
INV000362,CP001,P0362,15,5,30,7,11/06/2026
INV000363,CP001,P0363,274,71,518,3,11/06/2026
INV000364,CP001,P0364,58,35,420,5,11/06/2026
INV000365,CP001,P0365,84,38,273,10,11/06/2026
INV000366,CP001,P0366,208,33,267,14,11/06/2026
INV000367,CP001,P0367,137,46,217,5,11/06/2026
INV000368,CP001,P0368,340,85,846,7,11/06/2026
INV000369,CP001,P0369,187,21,213,3,11/06/2026
INV000370,CP001,P0370,128,26,218,5,11/06/2026
INV000371,CP001,P0371,137,46,351,5,11/06/2026
INV000372,CP001,P0372,96,56,395,5,11/06/2026
INV000373,CP001,P0373,41,46,412,10,11/06/2026
INV000374,CP001,P0374,56,12,101,10,11/06/2026
INV000375,CP001,P0375,426,79,644,10,11/06/2026
INV000376,CP001,P0376,72,40,271,5,11/06/2026
INV000377,CP001,P0377,44,39,344,10,11/06/2026
INV000378,CP001,P0378,83,44,201,14,11/06/2026
INV000379,CP001,P0379,144,67,430,3,11/06/2026
INV000380,CP001,P0380,14,5,30,14,11/06/2026
INV000381,CP001,P0381,97,59,433,10,11/06/2026
INV000382,CP001,P0382,165,36,189,10,11/06/2026
INV000383,CP001,P0383,107,67,323,7,11/06/2026
INV000384,CP001,P0384,130,45,304,14,11/06/2026
INV000385,CP001,P0385,536,59,625,7,11/06/2026
INV000386,CP001,P0386,339,57,538,3,11/06/2026
INV000387,CP001,P0387,166,44,272,14,11/06/2026
INV000388,CP001,P0388,208,40,297,5,11/06/2026
INV000389,CP001,P0389,153,47,257,7,11/06/2026
INV000390,CP001,P0390,421,90,866,3,11/06/2026
INV000391,CP001,P0391,131,39,275,7,11/06/2026
INV000392,CP001,P0392,57,53,473,5,11/06/2026
INV000393,CP001,P0393,106,76,628,7,11/06/2026
INV000394,CP001,P0394,112,26,241,5,11/06/2026
INV000395,CP001,P0395,12,5,30,7,11/06/2026
INV000396,CP001,P0396,61,35,209,10,11/06/2026
INV000397,CP001,P0397,87,32,375,7,11/06/2026
INV000398,CP001,P0398,41,32,240,5,11/06/2026
INV000399,CP001,P0399,193,34,352,5,11/06/2026
INV000400,CP001,P0400,301,39,377,3,11/06/2026
INV000401,CP001,P0401,102,32,230,7,11/06/2026
INV000402,CP001,P0402,74,42,413,14,11/06/2026
INV000403,CP001,P0403,303,93,561,14,11/06/2026
INV000404,CP001,P0404,205,47,403,14,11/06/2026
INV000405,CP001,P0405,408,87,500,7,11/06/2026
INV000406,CP001,P0406,72,34,196,7,11/06/2026
INV000407,CP001,P0407,550,124,843,3,11/06/2026
INV000408,CP001,P0408,186,57,302,14,11/06/2026
INV000409,CP001,P0409,76,35,311,3,11/06/2026
INV000410,CP001,P0410,93,14,98,3,11/06/2026
INV000411,CP001,P0411,91,61,360,7,11/06/2026
INV000412,CP001,P0412,145,41,378,7,11/06/2026
INV000413,CP001,P0413,23,12,81,5,11/06/2026
INV000414,CP001,P0414,29,14,94,14,11/06/2026
INV000415,CP001,P0415,213,39,298,10,11/06/2026
INV000416,CP001,P0416,123,29,302,5,11/06/2026
INV000417,CP001,P0417,97,35,268,10,11/06/2026
INV000418,CP001,P0418,606,107,911,3,11/06/2026
INV000419,CP001,P0419,440,62,469,3,11/06/2026
INV000420,CP001,P0420,57,24,175,7,11/06/2026
INV000421,CP001,P0421,269,46,362,10,11/06/2026
INV000422,CP001,P0422,44,21,168,10,11/06/2026
INV000423,CP001,P0423,130,60,344,3,11/06/2026
INV000424,CP001,P0424,41,19,93,7,11/06/2026
INV000425,CP001,P0425,110,37,223,14,11/06/2026
INV000426,CP001,P0426,246,63,412,5,11/06/2026
INV000427,CP001,P0427,174,34,280,7,11/06/2026
INV000428,CP001,P0428,172,49,422,10,11/06/2026
INV000429,CP001,P0429,208,37,273,7,11/06/2026
INV000430,CP001,P0430,108,29,323,3,11/06/2026
INV000431,CP001,P0431,10,5,33,14,11/06/2026
INV000432,CP001,P0432,100,49,309,5,11/06/2026
INV000433,CP001,P0433,39,35,242,5,11/06/2026
INV000434,CP001,P0434,508,113,990,10,11/06/2026
INV000435,CP001,P0435,385,91,716,7,11/06/2026
INV000436,CP001,P0436,119,26,149,3,11/06/2026
INV000437,CP001,P0437,167,27,272,14,11/06/2026
INV000438,CP001,P0438,55,50,320,14,11/06/2026
INV000439,CP001,P0439,162,51,361,5,11/06/2026
INV000440,CP001,P0440,163,53,546,3,11/06/2026
INV000441,CP001,P0441,567,95,593,10,11/06/2026
INV000442,CP001,P0442,161,38,292,3,11/06/2026
INV000443,CP001,P0443,117,28,253,14,11/06/2026
INV000444,CP001,P0444,418,41,459,14,11/06/2026
INV000445,CP001,P0445,201,40,229,5,11/06/2026
INV000446,CP001,P0446,15,5,30,10,11/06/2026
INV000447,CP001,P0447,199,32,325,14,11/06/2026
INV000448,CP001,P0448,56,62,419,3,11/06/2026
INV000449,CP001,P0449,256,48,421,7,11/06/2026
INV000450,CP001,P0450,69,36,224,7,11/06/2026
INV000451,CP001,P0451,465,159,868,14,11/06/2026
INV000452,CP001,P0452,201,71,529,5,11/06/2026
INV000453,CP001,P0453,152,28,262,5,11/06/2026
INV000454,CP001,P0454,89,36,217,10,11/06/2026
INV000455,CP001,P0455,370,133,881,10,11/06/2026
INV000456,CP001,P0456,18,11,69,3,11/06/2026
INV000457,CP001,P0457,10,8,58,14,11/06/2026
INV000458,CP001,P0458,369,53,452,10,11/06/2026
INV000459,CP001,P0459,18,14,104,7,11/06/2026
INV000460,CP001,P0460,342,71,446,3,11/06/2026
INV000461,CP001,P0461,152,34,372,14,11/06/2026
INV000462,CP001,P0462,374,70,762,14,11/06/2026
INV000463,CP001,P0463,177,82,655,10,11/06/2026
INV000464,CP001,P0464,188,47,347,3,11/06/2026
INV000465,CP001,P0465,143,35,238,14,11/06/2026
INV000466,CP001,P0466,14,5,30,3,11/06/2026
INV000467,CP001,P0467,190,45,337,14,11/06/2026
INV000468,CP001,P0468,132,37,314,14,11/06/2026
INV000469,CP001,P0469,26,11,96,10,11/06/2026
INV000470,CP001,P0470,177,85,687,14,11/06/2026
INV000471,CP001,P0471,181,76,508,5,11/06/2026
INV000472,CP001,P0472,243,42,300,5,11/06/2026
INV000473,CP001,P0473,163,47,312,14,11/06/2026
INV000474,CP001,P0474,87,31,269,5,11/06/2026
INV000475,CP001,P0475,26,13,109,7,11/06/2026
INV000476,CP001,P0476,126,37,201,3,11/06/2026
INV000477,CP001,P0477,274,108,951,3,11/06/2026
INV000478,CP001,P0478,193,50,280,5,11/06/2026
INV000479,CP001,P0479,188,85,568,7,11/06/2026
INV000480,CP001,P0480,66,30,176,7,11/06/2026
INV000481,CP001,P0481,158,89,510,3,11/06/2026
INV000482,CP001,P0482,208,113,976,14,11/06/2026
INV000483,CP001,P0483,302,61,474,10,11/06/2026
INV000484,CP001,P0484,62,51,369,14,11/06/2026
INV000485,CP001,P0485,97,96,505,5,11/06/2026
INV000486,CP001,P0486,132,35,290,3,11/06/2026
INV000487,CP001,P0487,223,38,374,5,11/06/2026
INV000488,CP001,P0488,87,66,637,3,11/06/2026
INV000489,CP001,P0489,213,36,280,5,11/06/2026
INV000490,CP001,P0490,11,8,58,5,11/06/2026
INV000491,CP001,P0491,79,18,161,7,11/06/2026
INV000492,CP001,P0492,52,29,190,5,11/06/2026
INV000493,CP001,P0493,309,51,429,7,11/06/2026
INV000494,CP001,P0494,66,63,312,5,11/06/2026
INV000495,CP001,P0495,190,43,312,10,11/06/2026
INV000496,CP001,P0496,241,44,476,5,11/06/2026
