customer_id,gender,age,age_group,loyalty_tier,visit_frequency,total_spend_lkr,avg_basket_value_lkr,days_since_last_purchase,preferred_category,campaign_id,offer_type,discount_pct,channel,sent_date,year,clicked,redeemed,revenue_after_lkr,treatment,customer_past_redemption_rate,is_seasonal_window,is_salary_cycle,is_school_holiday
CUST_1389,Female,40,35-45,Silver,18,212489.17,8982.82,143,Watch,CMP_000016,New Arrival,40,App Push,2018-05-19,2018,0,0,0.0,0,0.2,0,0,0
CUST_0677,Male,39,35-45,Bronze,15,54627.6,7235.39,143,Handbag,CMP_000017,Loyalty Reward,30,App Push,2018-03-14,2018,1,1,6379.16,0,0.3,1,0,0
CUST_0608,Female,34,26-34,Silver,47,540656.45,20555.35,113,Sunglasses,CMP_000018,Loyalty Reward,10,SMS,2018-12-13,2018,0,0,0.0,1,0.5,1,0,1
CUST_2395,Female,53,46-60,Silver,4,177645.8,19140.7,138,Shoes,CMP_000019,Flash Sale,10,App Push,2018-10-03,2018,0,0,0.0,0,0.6154,0,0,0
CUST_1848,Male,57,46-60,Bronze,31,226222.85,9265.5,16,Handbag,CMP_000020,BOGO,10,In-Store,2018-11-18,2018,1,1,9627.1,1,0.7273,1,0,0
CUST_1215,Female,38,35-45,Bronze,4,186076.58,7155.61,71,Handbag,CMP_000021,BOGO,10,Email,2018-06-08,2018,1,0,0.0,1,0.625,1,0,0
CUST_0894,Female,41,35-45,Bronze,26,77975.61,20004.65,33,Top,CMP_000022,BOGO,40,In-Store,2018-03-19,2018,1,1,11610.22,1,0.4286,1,0,0
CUST_1326,Male,60,46-60,Silver,13,252648.3,9358.3,112,Trousers,CMP_000023,New Arrival,20,In-Store,2018-04-17,2018,0,0,0.0,0,0.4545,1,0,1
CUST_1627,Male,29,26-34,Platinum,16,281506.94,14685.9,15,Watch,CMP_000024,Flash Sale,50,SMS,2018-04-23,2018,1,1,9637.68,1,0.5833,1,1,1
CUST_0859,Female,55,46-60,Bronze,18,182351.59,18143.67,64,Trousers,CMP_000025,New Arrival,10,SMS,2018-07-08,2018,0,0,0.0,0,0.2727,1,0,0
CUST_0410,Male,55,46-60,Silver,32,83991.7,6656.06,107,Perfume,CMP_000026,Seasonal Sale,40,SMS,2018-06-20,2018,1,1,5308.14,1,0.6923,1,1,0
CUST_2310,Male,24,18-25,Silver,25,209383.67,13954.37,129,Perfume,CMP_000027,Loyalty Reward,40,Email,2018-06-23,2018,1,1,8198.23,0,0.3846,1,1,0
CUST_1298,Male,47,46-60,Bronze,14,64658.96,3284.81,63,Top,CMP_000028,New Arrival,40,App Push,2018-07-21,2018,1,0,0.0,1,0.4,1,1,0
CUST_1158,Female,39,35-45,Silver,13,397229.07,16067.59,173,Shoes,CMP_000029,BOGO,40,In-Store,2018-12-18,2018,1,1,10426.94,1,0.3333,1,0,1
CUST_0564,Male,20,18-25,Silver,7,183970.27,11883.7,17,Jewellery,CMP_000030,BOGO,20,Email,2018-04-16,2018,0,0,0.0,1,0.6667,1,0,1
CUST_2188,Female,60,46-60,Silver,9,18636.55,4069.53,33,Watch,CMP_000031,Loyalty Reward,30,Email,2018-08-07,2018,0,0,0.0,1,0.625,0,0,1
CUST_2326,Female,52,46-60,Silver,51,86671.86,3938.0,83,Watch,CMP_000032,Flash Sale,40,In-Store,2018-04-19,2018,1,1,3012.71,1,0.6,1,0,1
CUST_1552,Female,32,26-34,Gold,28,293232.05,24450.31,145,Perfume,CMP_000033,Flash Sale,40,In-Store,2018-06-28,2018,1,1,18987.19,0,0.4615,1,1,0
CUST_0093,Female,56,46-60,Bronze,20,202229.95,6969.64,87,Top,CMP_000034,New Arrival,20,SMS,2018-03-12,2018,1,0,0.0,0,0.3333,1,0,0
CUST_0488,Male,21,18-25,Silver,3,136838.64,6702.57,118,Watch,CMP_000035,Seasonal Sale,40,SMS,2018-07-08,2018,1,1,4626.61,0,0.5385,1,0,0
CUST_1168,Female,37,35-45,Platinum,44,593711.49,24711.28,84,Handbag,CMP_000036,BOGO,10,App Push,2018-04-16,2018,0,0,0.0,0,0.4375,1,0,1
CUST_0484,Female,46,46-60,Silver,18,252651.43,23967.11,64,Handbag,CMP_000037,Flash Sale,30,SMS,2018-01-13,2018,1,1,19393.76,1,0.375,0,0,0
CUST_1576,Male,23,18-25,Bronze,4,204929.83,10172.88,31,Jewellery,CMP_000038,Seasonal Sale,50,SMS,2018-11-14,2018,0,0,0.0,1,0.5455,1,0,0
CUST_1007,Female,30,26-34,Silver,50,57735.12,2560.78,45,Sunglasses,CMP_000039,BOGO,40,Email,2018-03-14,2018,1,1,1917.0,1,0.6,1,0,0
CUST_1947,Female,25,18-25,Bronze,46,64082.24,19301.34,32,Shoes,CMP_000040,Seasonal Sale,30,In-Store,2018-05-08,2018,0,0,0.0,1,0.6667,0,0,0
CUST_1845,Female,59,46-60,Silver,33,731714.61,24412.25,44,Dress,CMP_000041,New Arrival,30,SMS,2018-07-22,2018,1,1,18121.22,1,0.5,1,1,0
CUST_0980,Female,26,26-34,Silver,4,17783.84,4206.66,40,Trousers,CMP_000042,BOGO,40,In-Store,2018-06-26,2018,1,1,2239.65,1,0.5,1,1,0
CUST_1572,Male,38,35-45,Silver,29,313444.39,18239.75,157,Handbag,CMP_000043,New Arrival,20,App Push,2018-10-19,2018,1,1,17725.27,1,0.4167,0,0,0
CUST_0408,Male,36,35-45,Platinum,31,179545.23,12148.88,65,Handbag,CMP_000044,Discount,40,Email,2018-08-04,2018,1,0,0.0,1,0.4667,0,0,1
CUST_0017,Male,33,26-34,Bronze,31,282222.99,12097.28,41,Watch,CMP_000045,BOGO,30,In-Store,2018-04-16,2018,1,1,10265.02,1,0.5333,1,0,1
CUST_1267,Female,35,35-45,Silver,39,91812.89,17582.19,41,Trousers,CMP_000046,Discount,50,SMS,2018-02-24,2018,1,1,12035.37,1,0.6667,0,1,0
CUST_0453,Female,19,18-25,Platinum,19,32073.0,4914.28,53,Sunglasses,CMP_000047,Seasonal Sale,10,SMS,2018-11-28,2018,1,1,4278.37,1,0.625,1,1,0
CUST_0861,Female,44,35-45,Silver,35,355547.82,18112.32,9,Dress,CMP_000048,New Arrival,50,Email,2018-05-18,2018,0,0,0.0,0,0.5556,0,0,0
CUST_2043,Female,60,46-60,Silver,47,81830.53,4516.31,178,Perfume,CMP_000049,New Arrival,20,Email,2018-12-08,2018,1,0,0.0,1,0.5,1,0,1
CUST_1174,Male,25,18-25,Bronze,39,450059.43,18229.89,24,Trousers,CMP_000050,Seasonal Sale,40,Email,2018-06-17,2018,1,0,0.0,1,0.5833,1,0,0
CUST_2125,Female,19,18-25,Bronze,22,425258.42,23276.16,159,Dress,CMP_000051,Seasonal Sale,30,Email,2018-10-04,2018,0,0,0.0,1,0.8333,0,0,0
CUST_2373,Female,31,26-34,Silver,48,126426.83,4850.64,118,Perfume,CMP_000052,BOGO,40,In-Store,2018-12-10,2018,1,1,3992.99,1,0.8333,1,0,1
CUST_1846,Male,35,35-45,Bronze,37,44526.34,3841.57,28,Top,CMP_000053,Flash Sale,40,In-Store,2018-09-16,2018,0,0,0.0,0,0.5333,0,0,0
CUST_1392,Male,48,46-60,Bronze,16,531451.26,18524.23,111,Perfume,CMP_000054,Seasonal Sale,20,In-Store,2018-06-12,2018,1,1,14337.01,1,0.875,1,0,0
CUST_1609,Male,36,35-45,Silver,21,103504.08,4926.75,165,Coat,CMP_000055,Seasonal Sale,50,App Push,2018-07-29,2018,1,1,2571.94,1,0.6875,1,1,0
CUST_2374,Female,35,35-45,Bronze,36,72689.5,12609.16,72,Shoes,CMP_000056,Flash Sale,20,In-Store,2018-07-17,2018,1,1,13253.57,0,0.6667,1,0,0
CUST_1568,Male,34,26-34,Bronze,17,48210.14,3072.56,140,Sunglasses,CMP_000057,BOGO,10,App Push,2018-08-01,2018,1,1,3803.96,1,0.5,0,1,1
CUST_2455,Female,31,26-34,Silver,16,205690.93,24308.25,98,Handbag,CMP_000058,BOGO,40,Email,2018-03-16,2018,1,1,13006.0,1,0.4167,1,0,0
CUST_0618,Male,40,35-45,Bronze,17,456392.87,20821.77,70,Watch,CMP_000059,Seasonal Sale,10,In-Store,2018-10-05,2018,0,0,0.0,1,0.4167,0,0,0
CUST_2304,Male,33,26-34,Gold,43,258354.76,10616.82,79,Shoes,CMP_000060,Discount,30,App Push,2018-03-28,2018,1,1,8110.42,1,0.7143,1,1,0
CUST_1742,Female,43,35-45,Bronze,35,60188.41,7861.47,123,Watch,CMP_000061,Discount,30,App Push,2018-01-11,2018,1,1,6543.45,1,0.5455,0,0,0
CUST_2201,Female,22,18-25,Silver,21,35387.98,2834.55,34,Trousers,CMP_000062,Seasonal Sale,20,In-Store,2018-08-23,2018,0,0,0.0,1,0.6429,0,1,1
CUST_0256,Female,41,35-45,Gold,25,205822.27,13315.08,73,Top,CMP_000063,BOGO,40,In-Store,2018-03-27,2018,1,1,8800.26,1,0.6923,1,1,0
CUST_2123,Female,48,46-60,Bronze,5,238056.74,10049.67,56,Handbag,CMP_000064,Discount,40,App Push,2018-11-06,2018,0,0,0.0,1,0.5,1,0,0
CUST_1061,Female,32,26-34,Bronze,37,147203.32,7233.7,40,Coat,CMP_000065,Loyalty Reward,50,In-Store,2018-12-30,2018,1,0,0.0,1,0.5,1,1,1
CUST_1745,Female,55,46-60,Bronze,8,278818.32,16696.84,117,Dress,CMP_000066,BOGO,30,SMS,2018-12-01,2018,1,1,13453.26,1,0.6111,1,1,1
CUST_0619,Female,56,46-60,Gold,30,141311.0,14192.53,14,Shoes,CMP_000067,Seasonal Sale,10,SMS,2018-09-24,2018,1,1,15464.78,1,0.3,0,1,0
CUST_0349,Female,30,26-34,Silver,41,103901.74,21443.44,126,Shoes,CMP_000068,New Arrival,40,App Push,2018-07-18,2018,1,1,11147.3,1,0.375,1,0,0
CUST_0590,Male,27,26-34,Silver,48,541148.36,21797.36,168,Trousers,CMP_000069,BOGO,20,Email,2018-05-20,2018,1,1,22409.12,1,0.4118,0,1,0
CUST_2058,Female,18,18-25,Bronze,18,544722.99,24090.38,111,Jewellery,CMP_000070,Loyalty Reward,40,App Push,2018-07-24,2018,1,1,20053.46,1,0.5385,1,1,0
CUST_1277,Male,39,35-45,Silver,28,79118.8,4292.26,35,Top,CMP_000071,Loyalty Reward,40,In-Store,2018-03-27,2018,1,1,3182.81,1,1.0,1,1,0
CUST_0705,Male,22,18-25,Silver,46,320297.18,12838.37,125,Trousers,CMP_000072,New Arrival,30,SMS,2018-05-16,2018,0,0,0.0,1,0.4286,0,0,0
CUST_1469,Female,20,18-25,Bronze,44,187497.76,13081.39,37,Watch,CMP_000073,Discount,20,In-Store,2018-10-23,2018,0,0,0.0,1,0.4667,0,1,0
CUST_0116,Female,27,26-34,Bronze,43,674561.98,23369.13,117,Sunglasses,CMP_000074,New Arrival,50,SMS,2018-04-09,2018,1,1,14113.27,1,0.75,1,0,1
CUST_1775,Female,24,18-25,Gold,18,427122.5,17491.08,109,Shoes,CMP_000075,Seasonal Sale,30,In-Store,2018-04-09,2018,0,0,0.0,0,0.6667,1,0,1
CUST_0537,Female,20,18-25,Silver,22,404652.04,16378.38,141,Top,CMP_000076,Discount,10,Email,2018-11-10,2018,1,1,12579.84,1,0.6,1,0,0
CUST_1954,Female,29,26-34,Silver,19,123736.57,24774.56,83,Top,CMP_000077,Loyalty Reward,20,In-Store,2018-03-09,2018,1,1,26423.65,1,0.4286,1,0,0
CUST_2416,Female,27,26-34,Silver,36,166464.7,9311.82,160,Jewellery,CMP_000078,New Arrival,30,App Push,2018-04-05,2018,1,1,6769.57,0,0.6429,1,0,1
CUST_0758,Female,44,35-45,Gold,2,258062.33,10119.47,23,Top,CMP_000079,Flash Sale,10,SMS,2018-01-15,2018,0,0,0.0,1,0.6667,0,0,0
CUST_0986,Female,36,35-45,Bronze,20,330263.2,18600.16,164,Handbag,CMP_000080,Discount,30,SMS,2018-10-16,2018,1,0,0.0,1,0.3333,0,0,0
CUST_1392,Male,48,46-60,Bronze,16,531451.26,18524.23,111,Perfume,CMP_000081,New Arrival,50,App Push,2018-08-24,2018,1,1,9710.84,1,0.875,0,1,1
CUST_0342,Female,24,18-25,Bronze,14,31166.95,9283.49,100,Top,CMP_000082,BOGO,20,App Push,2018-10-18,2018,1,0,0.0,0,0.3,0,0,0
CUST_0521,Female,40,35-45,Silver,38,102602.0,3427.63,74,Shoes,CMP_000083,New Arrival,50,In-Store,2018-04-28,2018,0,0,0.0,1,0.7059,1,1,1
CUST_2199,Female,37,35-45,Silver,13,691640.94,23891.04,103,Watch,CMP_000084,BOGO,30,In-Store,2018-10-31,2018,1,0,0.0,1,0.5,0,1,0
CUST_0356,Female,60,46-60,Silver,37,146478.6,9447.68,163,Trousers,CMP_000085,BOGO,50,SMS,2018-08-28,2018,1,1,5275.53,1,0.6,0,1,1
CUST_0324,Male,32,26-34,Silver,27,304720.95,14923.62,47,Watch,CMP_000086,Loyalty Reward,40,App Push,2018-05-08,2018,0,0,0.0,0,0.6667,0,0,0
CUST_1445,Female,42,35-45,Bronze,27,143042.03,7771.86,118,Trousers,CMP_000087,New Arrival,30,App Push,2018-06-13,2018,1,1,6734.59,1,0.5,1,0,0
CUST_2445,Female,46,46-60,Gold,42,158064.94,11825.08,90,Trousers,CMP_000088,Discount,40,In-Store,2018-07-18,2018,1,1,8709.32,1,0.75,1,0,0
CUST_2125,Female,19,18-25,Bronze,22,425258.42,23276.16,159,Dress,CMP_000089,Flash Sale,50,In-Store,2018-07-28,2018,1,1,14685.98,1,0.7778,1,1,0
CUST_0797,Female,47,46-60,Platinum,16,70519.03,17005.13,33,Dress,CMP_000090,Seasonal Sale,20,Email,2018-09-29,2018,1,0,0.0,0,0.7143,0,1,0
CUST_0551,Female,40,35-45,Silver,39,49221.26,8833.97,1,Top,CMP_000091,Seasonal Sale,30,In-Store,2018-03-31,2018,1,1,6141.74,1,0.5333,1,1,0
CUST_0701,Female,50,46-60,Bronze,10,183482.58,6808.6,135,Top,CMP_000092,New Arrival,40,Email,2018-07-16,2018,1,1,4341.69,0,0.4,1,0,0
CUST_0037,Male,25,18-25,Silver,9,110004.82,13376.32,60,Watch,CMP_000093,Seasonal Sale,20,Email,2018-06-03,2018,0,0,0.0,1,0.5,1,0,0
CUST_0105,Female,47,46-60,Bronze,17,306579.47,20604.44,27,Coat,CMP_000094,Flash Sale,20,In-Store,2018-06-19,2018,1,1,20752.78,1,0.6923,1,0,0
CUST_0886,Male,51,46-60,Silver,41,395860.86,20560.28,150,Trousers,CMP_000095,New Arrival,10,App Push,2018-06-25,2018,1,1,25662.47,1,0.3333,1,1,0
CUST_2500,Female,30,26-34,Platinum,22,199979.78,8188.2,46,Dress,CMP_000096,BOGO,30,In-Store,2018-12-21,2018,1,1,6779.49,1,0.5,1,1,1
CUST_2410,Female,35,35-45,Bronze,20,188867.95,8280.2,60,Top,CMP_000097,Loyalty Reward,40,App Push,2018-11-04,2018,1,1,5228.18,1,0.6,1,0,0
CUST_0977,Female,27,26-34,Bronze,34,113228.6,21066.84,52,Watch,CMP_000098,Loyalty Reward,50,SMS,2018-08-01,2018,1,1,11791.63,1,0.6667,0,1,1
CUST_0072,Male,20,18-25,Silver,26,185161.63,10543.07,92,Sunglasses,CMP_000099,BOGO,40,Email,2018-10-25,2018,1,1,8216.31,1,0.6667,0,1,0
CUST_0395,Male,48,46-60,Bronze,22,156510.54,15103.87,89,Coat,CMP_000100,New Arrival,30,In-Store,2018-01-31,2018,1,1,10059.84,1,0.7647,0,1,0
CUST_0577,Male,42,35-45,Silver,4,287005.64,23686.75,139,Sunglasses,CMP_000101,BOGO,40,In-Store,2018-11-13,2018,0,0,0.0,1,0.5714,1,0,0
CUST_0180,Male,44,35-45,Bronze,49,66280.9,13415.47,131,Handbag,CMP_000102,Seasonal Sale,40,In-Store,2018-07-28,2018,0,0,0.0,1,0.3333,1,1,0
CUST_1897,Female,27,26-34,Bronze,29,101545.57,3693.08,41,Handbag,CMP_000103,Seasonal Sale,50,In-Store,2018-04-28,2018,1,1,2530.1,1,0.4545,1,1,1
CUST_1689,Female,57,46-60,Bronze,44,355946.01,22157.64,20,Coat,CMP_000104,Loyalty Reward,10,App Push,2018-03-13,2018,1,1,18731.15,0,0.6923,1,0,0
CUST_1912,Female,39,35-45,Silver,16,292222.87,20710.21,10,Coat,CMP_000105,Seasonal Sale,50,SMS,2018-02-05,2018,1,1,13133.83,1,0.65,0,0,0
CUST_2463,Female,22,18-25,Silver,9,319414.71,24234.88,47,Coat,CMP_000106,Loyalty Reward,10,SMS,2018-01-23,2018,0,0,0.0,1,0.5909,0,1,0
CUST_2301,Female,60,46-60,Bronze,12,119297.42,9522.69,37,Coat,CMP_000107,New Arrival,50,SMS,2018-03-13,2018,0,0,0.0,0,0.75,1,0,0
CUST_1383,Female,39,35-45,Bronze,38,206450.71,17473.96,162,Handbag,CMP_000108,Flash Sale,50,SMS,2018-01-08,2018,1,1,7815.69,1,0.6429,0,0,0
CUST_1130,Male,47,46-60,Bronze,18,627929.23,21831.75,71,Handbag,CMP_000109,New Arrival,40,App Push,2018-10-19,2018,1,1,16277.5,1,0.5333,0,0,0
CUST_1707,Female,28,26-34,Silver,28,91957.37,4672.39,16,Trousers,CMP_000110,BOGO,50,In-Store,2018-04-22,2018,1,1,2666.99,1,0.5,1,1,1
CUST_1476,Female,25,18-25,Bronze,18,122502.12,9665.56,48,Top,CMP_000111,Loyalty Reward,40,In-Store,2018-05-28,2018,0,0,0.0,0,0.3077,0,1,0
CUST_0543,Male,46,46-60,Bronze,4,358379.44,14504.23,104,Coat,CMP_000112,BOGO,50,SMS,2018-11-06,2018,0,0,0.0,1,0.375,1,0,0
CUST_1224,Female,49,46-60,Silver,17,675081.91,23011.41,50,Top,CMP_000113,Loyalty Reward,10,Email,2018-03-24,2018,1,1,17818.37,1,0.7778,1,1,0
CUST_0266,Female,55,46-60,Platinum,50,189650.44,16392.91,172,Handbag,CMP_000114,Discount,50,Email,2018-11-29,2018,1,1,7292.73,0,0.7778,1,1,0
CUST_2029,Male,36,35-45,Bronze,28,119784.3,4011.95,164,Shoes,CMP_000115,Discount,10,Email,2018-09-19,2018,0,0,0.0,1,0.5,0,0,0
CUST_1590,Female,45,35-45,Bronze,15,435165.51,20914.06,141,Top,CMP_000116,Discount,40,App Push,2018-05-18,2018,0,0,0.0,1,0.75,0,0,0
CUST_1494,Male,21,18-25,Silver,30,412722.76,19377.08,44,Watch,CMP_000117,Flash Sale,40,SMS,2018-03-09,2018,0,0,0.0,1,0.6,1,0,0
CUST_1539,Male,27,26-34,Bronze,2,487129.19,24236.26,11,Trousers,CMP_000118,BOGO,50,SMS,2018-02-15,2018,0,0,0.0,0,0.3333,0,0,0
CUST_0224,Female,26,26-34,Bronze,24,506952.63,17083.3,48,Trousers,CMP_000119,Loyalty Reward,20,In-Store,2018-05-01,2018,1,1,12524.94,1,0.7,0,1,0
CUST_2416,Female,27,26-34,Silver,36,166464.7,9311.82,160,Jewellery,CMP_000120,BOGO,40,SMS,2018-03-29,2018,1,1,7120.68,1,0.6429,1,1,0
CUST_1973,Male,46,46-60,Bronze,9,254829.99,22312.34,176,Watch,CMP_000121,Discount,40,Email,2018-04-16,2018,1,1,12275.26,1,0.6429,1,0,1
CUST_0617,Male,18,18-25,Silver,50,162790.59,22994.78,159,Sunglasses,CMP_000122,Flash Sale,20,In-Store,2018-02-28,2018,1,1,21998.4,1,1.0,0,1,0
CUST_0146,Male,35,35-45,Gold,20,416515.6,20494.66,2,Perfume,CMP_000123,Seasonal Sale,10,Email,2018-08-30,2018,1,0,0.0,0,0.5714,0,1,1
CUST_1067,Male,37,35-45,Gold,22,353945.13,11868.82,176,Dress,CMP_000124,Flash Sale,20,App Push,2018-03-25,2018,0,0,0.0,1,0.3846,1,1,0
CUST_2471,Male,24,18-25,Silver,23,25903.29,8362.51,25,Watch,CMP_000125,Flash Sale,10,Email,2018-11-15,2018,1,0,0.0,1,0.4667,1,0,0
CUST_2320,Female,46,46-60,Gold,41,312821.98,17007.86,45,Shoes,CMP_000126,Discount,20,In-Store,2018-04-27,2018,1,0,0.0,1,0.625,1,1,1
CUST_0159,Male,28,26-34,Bronze,45,288444.26,22459.9,87,Trousers,CMP_000127,Loyalty Reward,20,Email,2018-11-22,2018,1,1,18685.46,1,0.7778,1,1,0
CUST_0699,Male,31,26-34,Bronze,27,34564.09,2692.81,135,Jewellery,CMP_000128,BOGO,50,SMS,2018-03-06,2018,0,0,0.0,1,0.4,1,0,0
CUST_0240,Male,45,35-45,Bronze,37,225463.46,21032.33,73,Handbag,CMP_000129,Flash Sale,20,Email,2018-10-01,2018,1,1,14770.03,1,0.3333,0,1,0
CUST_2219,Female,41,35-45,Silver,9,126785.98,5500.42,18,Perfume,CMP_000130,Seasonal Sale,40,Email,2018-05-06,2018,1,1,2868.62,1,0.6,0,0,0
CUST_1800,Male,32,26-34,Bronze,31,108332.53,15662.31,76,Watch,CMP_000131,Seasonal Sale,50,SMS,2018-08-14,2018,0,0,0.0,0,0.5625,0,0,1
CUST_2424,Female,29,26-34,Bronze,13,209946.04,13632.04,115,Watch,CMP_000132,New Arrival,20,App Push,2018-01-20,2018,1,1,10881.86,1,0.6429,0,1,0
CUST_2177,Male,49,46-60,Silver,48,254045.38,14671.2,1,Top,CMP_000133,Seasonal Sale,50,App Push,2018-07-04,2018,1,1,8443.72,1,0.5882,1,0,0
CUST_2070,Male,60,46-60,Bronze,32,78379.14,11094.63,86,Coat,CMP_000134,BOGO,50,In-Store,2018-03-20,2018,1,1,5749.61,1,0.4615,1,1,0
CUST_1809,Male,49,46-60,Silver,20,379573.54,17524.99,77,Handbag,CMP_000135,BOGO,30,App Push,2018-07-24,2018,1,1,14615.79,1,0.7273,1,1,0
CUST_1007,Female,30,26-34,Silver,50,57735.12,2560.78,45,Sunglasses,CMP_000136,Discount,20,App Push,2018-03-02,2018,1,1,2049.81,1,0.6,1,0,0
CUST_1526,Male,46,46-60,Platinum,7,87387.92,9634.15,117,Coat,CMP_000137,BOGO,20,Email,2018-06-21,2018,1,1,9476.18,1,0.625,1,1,0
CUST_1877,Female,59,46-60,Bronze,7,186812.97,17187.09,158,Top,CMP_000138,Discount,20,In-Store,2018-03-15,2018,0,0,0.0,0,0.6316,1,0,0
CUST_1599,Male,21,18-25,Bronze,27,46545.35,8332.9,92,Jewellery,CMP_000139,Flash Sale,20,Email,2018-04-04,2018,1,1,6844.22,1,0.5,1,0,1
CUST_1412,Male,30,26-34,Bronze,5,154641.38,24786.97,5,Perfume,CMP_000140,Flash Sale,40,Email,2018-08-01,2018,0,0,0.0,1,0.5385,0,1,1
CUST_1330,Female,40,35-45,Silver,1,28881.97,8339.93,115,Sunglasses,CMP_000141,New Arrival,40,SMS,2018-12-13,2018,1,1,4704.11,1,0.4615,1,0,1
CUST_2024,Male,47,46-60,Silver,19,32102.45,3897.83,33,Shoes,CMP_000142,Discount,20,In-Store,2018-06-25,2018,1,1,3077.14,1,0.5,1,1,0
CUST_0056,Female,18,18-25,Silver,30,66155.47,6474.47,51,Top,CMP_000143,Flash Sale,10,In-Store,2018-10-28,2018,0,0,0.0,1,0.5,0,1,0
CUST_2461,Female,39,35-45,Bronze,51,180735.06,7963.03,3,Handbag,CMP_000144,New Arrival,10,App Push,2018-07-04,2018,1,1,7772.7,1,0.5,1,0,0
CUST_0539,Female,44,35-45,Bronze,24,256721.01,9082.16,58,Coat,CMP_000145,Discount,50,App Push,2018-07-09,2018,1,1,5804.46,1,0.5385,1,0,0
CUST_0388,Male,25,18-25,Bronze,26,124869.76,12670.98,167,Sunglasses,CMP_000146,New Arrival,20,In-Store,2018-02-23,2018,0,0,0.0,0,0.3889,0,1,0
CUST_2436,Female,55,46-60,Platinum,27,329001.71,14551.33,6,Jewellery,CMP_000147,New Arrival,50,App Push,2018-03-05,2018,0,0,0.0,1,0.6667,1,0,0
CUST_0080,Male,19,18-25,Platinum,19,103266.39,17443.44,107,Watch,CMP_000148,Seasonal Sale,10,SMS,2018-12-09,2018,0,0,0.0,0,0.4545,1,0,1
CUST_0096,Female,40,35-45,Bronze,33,28646.75,8530.26,46,Coat,CMP_000149,New Arrival,10,In-Store,2018-06-26,2018,1,0,0.0,0,0.6667,1,1,0
CUST_2094,Female,33,26-34,Silver,48,43203.91,7559.69,156,Sunglasses,CMP_000150,Seasonal Sale,40,In-Store,2018-08-19,2018,0,0,0.0,0,0.5455,0,0,1
CUST_0449,Female,38,35-45,Silver,51,136767.5,10530.25,126,Shoes,CMP_000151,Seasonal Sale,40,App Push,2018-07-17,2018,1,1,8021.19,1,0.4667,1,0,0
CUST_2139,Male,41,35-45,Gold,37,504944.75,23495.56,103,Top,CMP_000152,New Arrival,50,Email,2018-06-26,2018,1,1,12021.53,1,0.6,1,1,0
