campaign_id,customer_id,offer_type,discount_pct,channel,sent_date,clicked,redeemed,treatment,revenue_after_lkr
CAMP_0041,CUST_498,Loyalty Reward,50,In-App Push,2025-01-12,0,0,Treatment,0.0
CAMP_0042,CUST_027,Discount,10,SMS,2025-04-06,1,0,Treatment,0.0
CAMP_0043,CUST_040,Discount,0,Email,2025-04-10,0,0,Treatment,0.0
CAMP_0044,CUST_155,Flash Sale,30,In-App Push,2025-02-20,1,0,Treatment,0.0
CAMP_0045,CUST_026,Loyalty Reward,50,In-App Push,2025-02-28,0,0,Treatment,0.0
CAMP_0046,CUST_292,Loyalty Reward,0,In-App Push,2025-02-14,0,0,Treatment,0.0
CAMP_0047,CUST_230,Flash Sale,30,SMS,2025-02-07,0,0,Treatment,0.0
CAMP_0048,CUST_183,Discount,20,In-App Push,2025-04-22,0,0,Treatment,0.0
CAMP_0049,CUST_484,Loyalty Reward,50,SMS,2025-04-07,0,0,Treatment,0.0
CAMP_0050,CUST_150,Flash Sale,50,In-App Push,2025-04-14,0,0,Treatment,0.0
CAMP_0051,CUST_223,Discount,20,In-App Push,2025-04-15,0,0,Treatment,0.0
CAMP_0052,CUST_067,Flash Sale,20,In-App Push,2025-04-28,0,0,Treatment,0.0
CAMP_0053,CUST_328,Flash Sale,50,Email,2025-02-26,0,0,Treatment,0.0
CAMP_0054,CUST_364,Discount,0,Email,2025-02-05,0,0,Treatment,0.0
CAMP_0055,CUST_302,Flash Sale,30,SMS,2025-02-25,0,0,Treatment,0.0
CAMP_0056,CUST_435,Flash Sale,0,In-App Push,2025-01-24,1,0,Treatment,0.0
CAMP_0057,CUST_284,Seasonal Sale,20,SMS,2025-04-30,1,0,Treatment,0.0
CAMP_0058,CUST_482,Discount,50,SMS,2025-01-05,0,0,Control,0.0
CAMP_0059,CUST_244,Loyalty Reward,50,SMS,2025-04-07,0,0,Treatment,0.0
CAMP_0060,CUST_197,Loyalty Reward,20,Email,2025-03-13,0,0,Treatment,0.0
CAMP_0061,CUST_158,Loyalty Reward,20,In-App Push,2025-01-10,0,0,Treatment,0.0
CAMP_0062,CUST_022,New Arrival,30,SMS,2025-02-07,0,0,Treatment,0.0
CAMP_0063,CUST_248,Flash Sale,0,Email,2025-02-04,0,0,Treatment,0.0
CAMP_0064,CUST_144,Loyalty Reward,20,Email,2025-04-10,0,0,Treatment,0.0
CAMP_0065,CUST_071,Flash Sale,50,Email,2025-02-28,1,1,Treatment,11382.82
CAMP_0066,CUST_141,Loyalty Reward,10,In-App Push,2025-04-10,0,0,Control,0.0
CAMP_0067,CUST_431,New Arrival,10,SMS,2025-02-22,0,0,Treatment,0.0
CAMP_0068,CUST_211,Flash Sale,50,SMS,2025-04-07,0,0,Treatment,0.0
CAMP_0069,CUST_442,Loyalty Reward,20,Email,2025-04-14,0,0,Treatment,0.0
CAMP_0070,CUST_251,Loyalty Reward,20,In-App Push,2025-01-30,0,0,Control,0.0
CAMP_0071,CUST_177,Loyalty Reward,20,In-App Push,2025-03-21,1,0,Treatment,0.0
CAMP_0072,CUST_477,BOGO,0,In-App Push,2025-02-24,0,0,Treatment,0.0
CAMP_0073,CUST_419,Flash Sale,20,In-App Push,2025-01-03,0,0,Treatment,0.0
CAMP_0074,CUST_482,Discount,50,Email,2025-01-28,0,0,Treatment,0.0
CAMP_0075,CUST_215,Flash Sale,30,In-App Push,2025-02-04,0,0,Treatment,0.0
CAMP_0076,CUST_267,Flash Sale,30,In-App Push,2025-03-24,1,0,Treatment,0.0
CAMP_0077,CUST_288,Flash Sale,20,Email,2025-01-22,0,0,Treatment,0.0
CAMP_0078,CUST_172,Loyalty Reward,30,Email,2025-02-16,1,1,Control,3413.25
CAMP_0079,CUST_059,Loyalty Reward,10,SMS,2025-02-13,0,0,Control,0.0
CAMP_0080,CUST_033,Loyalty Reward,20,Email,2025-04-16,0,0,Treatment,0.0
CAMP_0081,CUST_099,BOGO,0,SMS,2025-04-28,0,0,Treatment,0.0
CAMP_0082,CUST_061,Loyalty Reward,10,SMS,2025-02-20,0,0,Treatment,0.0
CAMP_0083,CUST_062,Seasonal Sale,10,SMS,2025-04-18,1,0,Treatment,0.0
CAMP_0084,CUST_340,BOGO,0,SMS,2025-01-21,0,0,Treatment,0.0
CAMP_0085,CUST_500,Discount,50,Email,2025-03-07,0,0,Control,0.0
CAMP_0086,CUST_016,Flash Sale,30,Email,2025-01-31,0,0,Treatment,0.0
CAMP_0087,CUST_074,Flash Sale,0,In-App Push,2025-01-09,0,0,Treatment,0.0
CAMP_0088,CUST_035,Flash Sale,50,Email,2025-02-21,1,1,Treatment,3372.71
CAMP_0089,CUST_269,Discount,50,Email,2025-02-07,0,0,Treatment,0.0
CAMP_0090,CUST_142,Seasonal Sale,30,Email,2025-01-30,0,0,Treatment,0.0
CAMP_0091,CUST_260,Discount,10,In-App Push,2025-02-12,0,0,Treatment,0.0
CAMP_0092,CUST_038,Loyalty Reward,30,SMS,2025-03-26,0,0,Control,0.0
CAMP_0093,CUST_007,New Arrival,0,Email,2025-02-03,1,0,Treatment,0.0
CAMP_0094,CUST_290,Loyalty Reward,0,Email,2025-04-05,0,0,Treatment,0.0
CAMP_0095,CUST_163,Discount,20,Email,2025-02-07,0,0,Treatment,0.0
CAMP_0096,CUST_443,Loyalty Reward,0,SMS,2025-01-17,1,1,Treatment,2396.54
CAMP_0097,CUST_497,Flash Sale,20,SMS,2025-01-02,1,1,Control,4261.57
CAMP_0098,CUST_436,BOGO,0,Email,2025-01-20,0,0,Control,0.0
CAMP_0099,CUST_481,Flash Sale,20,In-App Push,2025-04-03,1,0,Treatment,0.0
CAMP_0100,CUST_357,Loyalty Reward,10,Email,2025-03-06,0,0,Control,0.0
CAMP_0101,CUST_410,Flash Sale,50,In-App Push,2025-02-08,0,0,Treatment,0.0
CAMP_0102,CUST_162,Discount,20,SMS,2025-01-22,0,0,Treatment,0.0
CAMP_0103,CUST_133,Loyalty Reward,20,SMS,2025-04-10,0,0,Treatment,0.0
CAMP_0104,CUST_263,Seasonal Sale,0,SMS,2025-01-24,0,0,Control,0.0
CAMP_0105,CUST_026,Loyalty Reward,20,Email,2025-03-24,0,0,Treatment,0.0
CAMP_0106,CUST_148,Discount,50,Email,2025-03-30,0,0,Treatment,0.0
CAMP_0107,CUST_050,Loyalty Reward,0,Email,2025-02-16,0,0,Treatment,0.0
CAMP_0108,CUST_311,Seasonal Sale,20,SMS,2025-04-24,0,0,Control,0.0
CAMP_0109,CUST_268,Flash Sale,30,In-App Push,2025-03-31,0,0,Treatment,0.0
CAMP_0110,CUST_031,Seasonal Sale,10,Email,2025-03-12,0,0,Treatment,0.0
CAMP_0111,CUST_271,Loyalty Reward,0,Email,2025-04-23,0,0,Treatment,0.0
CAMP_0112,CUST_495,Loyalty Reward,20,Email,2025-03-28,1,1,Treatment,2681.91
CAMP_0113,CUST_125,Discount,30,Email,2025-03-12,0,0,Treatment,0.0
CAMP_0114,CUST_075,Loyalty Reward,10,SMS,2025-01-08,1,0,Treatment,0.0
CAMP_0115,CUST_135,Loyalty Reward,30,SMS,2025-01-28,0,0,Treatment,0.0
CAMP_0116,CUST_076,Flash Sale,0,SMS,2025-02-22,1,0,Treatment,0.0
CAMP_0117,CUST_410,Flash Sale,20,SMS,2025-03-11,1,0,Treatment,0.0
CAMP_0118,CUST_404,Loyalty Reward,0,SMS,2025-02-22,0,0,Treatment,0.0
CAMP_0119,CUST_050,Loyalty Reward,20,SMS,2025-02-24,0,0,Treatment,0.0
CAMP_0120,CUST_204,Loyalty Reward,50,In-App Push,2025-01-06,0,0,Treatment,0.0
CAMP_0121,CUST_346,Seasonal Sale,10,In-App Push,2025-02-16,0,0,Treatment,0.0
CAMP_0122,CUST_442,Loyalty Reward,0,SMS,2025-02-21,1,0,Treatment,0.0
CAMP_0123,CUST_111,Loyalty Reward,30,In-App Push,2025-04-29,0,0,Treatment,0.0
CAMP_0124,CUST_260,Flash Sale,0,In-App Push,2025-03-02,0,0,Treatment,0.0
CAMP_0125,CUST_024,BOGO,0,In-App Push,2025-04-06,0,0,Control,0.0
CAMP_0126,CUST_201,Loyalty Reward,0,SMS,2025-03-15,0,0,Treatment,0.0
CAMP_0127,CUST_258,BOGO,0,In-App Push,2025-01-03,0,0,Treatment,0.0
CAMP_0128,CUST_187,Flash Sale,30,SMS,2025-03-17,0,0,Treatment,0.0
CAMP_0129,CUST_450,Discount,20,SMS,2025-02-23,0,0,Treatment,0.0
CAMP_0130,CUST_430,Seasonal Sale,20,SMS,2025-02-24,0,0,Treatment,0.0
CAMP_0131,CUST_045,Discount,20,Email,2025-02-23,1,0,Control,0.0
CAMP_0132,CUST_376,Loyalty Reward,50,In-App Push,2025-04-21,1,1,Treatment,6381.73
CAMP_0133,CUST_141,Loyalty Reward,0,SMS,2025-02-18,0,0,Treatment,0.0
CAMP_0134,CUST_126,Flash Sale,10,In-App Push,2025-02-14,0,0,Treatment,0.0
CAMP_0135,CUST_094,Loyalty Reward,0,Email,2025-02-23,1,1,Control,6177.47
CAMP_0136,CUST_197,Loyalty Reward,20,In-App Push,2025-01-30,0,0,Treatment,0.0
CAMP_0137,CUST_097,Loyalty Reward,30,SMS,2025-04-02,0,0,Treatment,0.0
CAMP_0138,CUST_229,New Arrival,30,Email,2025-02-17,0,0,Treatment,0.0
CAMP_0139,CUST_396,Discount,50,SMS,2025-04-08,1,0,Treatment,0.0
CAMP_0140,CUST_316,BOGO,0,SMS,2025-01-24,0,0,Treatment,0.0
CAMP_0141,CUST_396,Discount,0,In-App Push,2025-01-02,0,0,Treatment,0.0
CAMP_0142,CUST_093,BOGO,0,Email,2025-01-05,0,0,Treatment,0.0
CAMP_0143,CUST_358,Loyalty Reward,20,SMS,2025-04-23,0,0,Control,0.0
CAMP_0144,CUST_314,Loyalty Reward,10,SMS,2025-04-10,0,0,Treatment,0.0
CAMP_0145,CUST_310,Flash Sale,30,SMS,2025-02-16,1,0,Treatment,0.0
CAMP_0146,CUST_395,Flash Sale,30,Email,2025-04-02,0,0,Control,0.0
CAMP_0147,CUST_305,Loyalty Reward,30,In-App Push,2025-03-24,0,0,Treatment,0.0
CAMP_0148,CUST_355,Discount,30,SMS,2025-02-11,0,0,Treatment,0.0
CAMP_0149,CUST_339,Loyalty Reward,0,SMS,2025-02-14,0,0,Treatment,0.0
CAMP_0150,CUST_360,Discount,10,Email,2025-01-22,0,0,Control,0.0
CAMP_0151,CUST_396,Discount,30,In-App Push,2025-03-13,0,0,Treatment,0.0
CAMP_0152,CUST_062,New Arrival,0,Email,2025-02-06,0,0,Treatment,0.0
CAMP_0153,CUST_354,Flash Sale,30,Email,2025-01-03,1,0,Treatment,0.0
CAMP_0154,CUST_370,Discount,20,Email,2025-03-03,0,0,Treatment,0.0
CAMP_0155,CUST_486,Loyalty Reward,10,SMS,2025-04-12,0,0,Treatment,0.0
CAMP_0156,CUST_352,Loyalty Reward,0,SMS,2025-03-15,0,0,Treatment,0.0
CAMP_0157,CUST_245,Loyalty Reward,20,SMS,2025-02-23,0,0,Treatment,0.0
CAMP_0158,CUST_099,Loyalty Reward,10,Email,2025-04-26,0,0,Treatment,0.0
CAMP_0159,CUST_261,Loyalty Reward,0,SMS,2025-03-15,0,0,Control,0.0
CAMP_0160,CUST_054,Discount,30,Email,2025-04-08,0,0,Treatment,0.0
CAMP_0161,CUST_205,Discount,50,Email,2025-02-23,1,0,Treatment,0.0
CAMP_0162,CUST_152,Loyalty Reward,0,In-App Push,2025-04-16,0,0,Control,0.0
CAMP_0163,CUST_435,Flash Sale,50,In-App Push,2025-03-21,0,0,Control,0.0
CAMP_0164,CUST_285,Discount,30,In-App Push,2025-01-29,0,0,Treatment,0.0
CAMP_0165,CUST_016,Loyalty Reward,50,In-App Push,2025-02-07,0,0,Treatment,0.0
CAMP_0166,CUST_028,Loyalty Reward,0,Email,2025-03-10,0,0,Treatment,0.0
CAMP_0167,CUST_379,Discount,10,SMS,2025-02-21,0,0,Treatment,0.0
CAMP_0168,CUST_226,Flash Sale,20,SMS,2025-01-19,0,0,Control,0.0
CAMP_0169,CUST_120,Loyalty Reward,10,In-App Push,2025-04-24,0,0,Treatment,0.0
CAMP_0170,CUST_066,Discount,20,SMS,2025-03-21,0,0,Treatment,0.0
CAMP_0171,CUST_437,Loyalty Reward,30,Email,2025-01-15,0,0,Treatment,0.0
CAMP_0172,CUST_334,Loyalty Reward,10,SMS,2025-04-01,0,0,Treatment,0.0
CAMP_0173,CUST_242,Seasonal Sale,10,Email,2025-01-22,0,0,Treatment,0.0
CAMP_0174,CUST_391,Loyalty Reward,20,Email,2025-01-28,0,0,Treatment,0.0
CAMP_0175,CUST_078,Discount,10,In-App Push,2025-01-27,0,0,Treatment,0.0
CAMP_0176,CUST_437,Seasonal Sale,0,In-App Push,2025-03-09,0,0,Control,0.0
CAMP_0177,CUST_034,Loyalty Reward,20,SMS,2025-01-08,0,0,Treatment,0.0
CAMP_0178,CUST_464,Discount,0,In-App Push,2025-01-07,0,0,Treatment,0.0
CAMP_0179,CUST_227,Flash Sale,10,Email,2025-01-15,1,0,Treatment,0.0
CAMP_0180,CUST_099,Discount,0,SMS,2025-01-06,0,0,Treatment,0.0
CAMP_0181,CUST_486,Loyalty Reward,10,Email,2025-01-30,0,0,Treatment,0.0
CAMP_0182,CUST_327,Loyalty Reward,50,SMS,2025-03-19,0,0,Treatment,0.0
CAMP_0183,CUST_332,Discount,10,SMS,2025-02-13,0,0,Treatment,0.0
CAMP_0184,CUST_358,BOGO,0,In-App Push,2025-03-24,0,0,Treatment,0.0
CAMP_0185,CUST_248,Discount,10,In-App Push,2025-04-03,0,0,Control,0.0
CAMP_0186,CUST_100,Flash Sale,10,In-App Push,2025-02-20,1,0,Treatment,0.0
CAMP_0187,CUST_126,Flash Sale,10,In-App Push,2025-01-11,0,0,Control,0.0
CAMP_0188,CUST_315,Loyalty Reward,20,SMS,2025-04-16,0,0,Treatment,0.0
CAMP_0189,CUST_039,Discount,50,In-App Push,2025-03-21,1,1,Treatment,7427.71
CAMP_0190,CUST_109,Discount,20,In-App Push,2025-03-29,0,0,Treatment,0.0
CAMP_0191,CUST_387,Discount,30,SMS,2025-02-22,0,0,Treatment,0.0
CAMP_0192,CUST_123,Loyalty Reward,0,In-App Push,2025-04-26,0,0,Control,0.0
CAMP_0193,CUST_338,Loyalty Reward,0,Email,2025-03-27,0,0,Treatment,0.0
CAMP_0194,CUST_349,Discount,10,In-App Push,2025-04-03,1,0,Treatment,0.0
CAMP_0195,CUST_204,Loyalty Reward,50,In-App Push,2025-02-24,0,0,Treatment,0.0
CAMP_0196,CUST_223,Discount,30,In-App Push,2025-01-24,0,0,Treatment,0.0
CAMP_0197,CUST_226,Discount,30,In-App Push,2025-03-03,0,0,Control,0.0
CAMP_0198,CUST_197,Loyalty Reward,20,In-App Push,2025-02-01,0,0,Treatment,0.0
CAMP_0199,CUST_473,Loyalty Reward,20,In-App Push,2025-01-06,0,0,Treatment,0.0
CAMP_0200,CUST_261,Loyalty Reward,20,In-App Push,2025-04-14,0,0,Treatment,0.0
CAMP_0201,CUST_038,New Arrival,50,In-App Push,2025-04-09,0,0,Control,0.0
CAMP_0202,CUST_464,Flash Sale,50,SMS,2025-04-22,0,0,Treatment,0.0
CAMP_0203,CUST_254,Flash Sale,20,SMS,2025-04-05,0,0,Treatment,0.0
CAMP_0204,CUST_302,Flash Sale,10,In-App Push,2025-04-24,0,0,Treatment,0.0
CAMP_0205,CUST_184,Loyalty Reward,50,Email,2025-02-05,0,0,Treatment,0.0
CAMP_0206,CUST_037,Discount,10,Email,2025-01-13,0,0,Treatment,0.0
CAMP_0207,CUST_437,Flash Sale,50,In-App Push,2025-01-28,0,0,Treatment,0.0
CAMP_0208,CUST_443,Loyalty Reward,10,SMS,2025-04-11,0,0,Treatment,0.0
CAMP_0209,CUST_317,Flash Sale,10,Email,2025-02-25,1,0,Treatment,0.0
CAMP_0210,CUST_359,Discount,0,SMS,2025-02-17,0,0,Treatment,0.0
CAMP_0211,CUST_082,BOGO,0,SMS,2025-02-05,0,0,Treatment,0.0
CAMP_0212,CUST_043,New Arrival,30,SMS,2025-04-07,1,0,Treatment,0.0
CAMP_0213,CUST_161,Flash Sale,20,SMS,2025-04-06,0,0,Treatment,0.0
CAMP_0214,CUST_244,BOGO,0,SMS,2025-01-08,0,0,Treatment,0.0
CAMP_0215,CUST_438,Loyalty Reward,10,Email,2025-03-10,0,0,Treatment,0.0
CAMP_0216,CUST_090,Discount,30,In-App Push,2025-01-28,1,0,Treatment,0.0
CAMP_0217,CUST_214,Loyalty Reward,50,Email,2025-03-27,0,0,Treatment,0.0
CAMP_0218,CUST_123,Discount,30,SMS,2025-04-03,0,0,Treatment,0.0
CAMP_0219,CUST_003,Discount,50,SMS,2025-04-04,0,0,Treatment,0.0
CAMP_0220,CUST_478,Loyalty Reward,20,In-App Push,2025-03-17,0,0,Treatment,0.0
CAMP_0221,CUST_416,Flash Sale,50,In-App Push,2025-04-13,1,0,Treatment,0.0
CAMP_0222,CUST_370,Loyalty Reward,30,In-App Push,2025-02-21,0,0,Treatment,0.0
CAMP_0223,CUST_025,Discount,0,In-App Push,2025-02-04,0,0,Control,0.0
CAMP_0224,CUST_299,Discount,10,In-App Push,2025-01-03,0,0,Treatment,0.0
CAMP_0225,CUST_280,Discount,50,In-App Push,2025-01-19,0,0,Treatment,0.0
CAMP_0226,CUST_192,Loyalty Reward,0,In-App Push,2025-03-18,1,0,Treatment,0.0
CAMP_0227,CUST_327,Loyalty Reward,50,Email,2025-02-06,0,0,Control,0.0
CAMP_0228,CUST_213,Loyalty Reward,20,In-App Push,2025-01-01,0,0,Treatment,0.0
CAMP_0229,CUST_259,Discount,30,SMS,2025-04-28,0,0,Treatment,0.0
CAMP_0230,CUST_032,Loyalty Reward,0,In-App Push,2025-04-02,0,0,Treatment,0.0
CAMP_0231,CUST_456,New Arrival,20,In-App Push,2025-01-10,0,0,Treatment,0.0
CAMP_0232,CUST_275,Discount,50,SMS,2025-04-21,0,0,Treatment,0.0
CAMP_0233,CUST_004,Loyalty Reward,30,Email,2025-04-01,1,1,Control,11733.83
CAMP_0234,CUST_067,Discount,10,Email,2025-03-30,0,0,Treatment,0.0
CAMP_0235,CUST_428,Loyalty Reward,50,SMS,2025-04-04,0,0,Control,0.0
CAMP_0236,CUST_179,Loyalty Reward,0,Email,2025-03-01,0,0,Treatment,0.0
CAMP_0237,CUST_493,Discount,50,In-App Push,2025-03-18,0,0,Treatment,0.0
CAMP_0238,CUST_477,Flash Sale,20,SMS,2025-04-26,1,0,Control,0.0
CAMP_0239,CUST_428,Seasonal Sale,30,SMS,2025-03-16,0,0,Treatment,0.0
CAMP_0240,CUST_229,Loyalty Reward,20,In-App Push,2025-01-16,0,0,Treatment,0.0
CAMP_0241,CUST_382,Loyalty Reward,20,Email,2025-01-23,0,0,Control,0.0
CAMP_0242,CUST_298,New Arrival,30,Email,2025-03-07,0,0,Treatment,0.0
CAMP_0243,CUST_245,Seasonal Sale,20,Email,2025-02-08,0,0,Treatment,0.0
CAMP_0244,CUST_436,Discount,20,In-App Push,2025-03-13,0,0,Treatment,0.0
CAMP_0245,CUST_378,Discount,10,SMS,2025-01-04,0,0,Treatment,0.0
CAMP_0246,CUST_138,New Arrival,50,Email,2025-04-30,0,0,Treatment,0.0
CAMP_0247,CUST_453,Flash Sale,20,SMS,2025-02-10,0,0,Treatment,0.0
CAMP_0248,CUST_197,Discount,20,In-App Push,2025-01-10,0,0,Treatment,0.0
CAMP_0249,CUST_483,Loyalty Reward,0,Email,2025-01-22,0,0,Treatment,0.0
CAMP_0250,CUST_268,Flash Sale,50,In-App Push,2025-03-22,1,0,Treatment,0.0
CAMP_0251,CUST_311,Seasonal Sale,0,In-App Push,2025-04-21,0,0,Control,0.0
CAMP_0252,CUST_043,Flash Sale,20,SMS,2025-02-03,1,0,Treatment,0.0
CAMP_0253,CUST_468,BOGO,0,SMS,2025-04-09,0,0,Control,0.0
CAMP_0254,CUST_099,Flash Sale,30,SMS,2025-04-16,0,0,Control,0.0
CAMP_0255,CUST_163,Discount,0,Email,2025-04-24,0,0,Treatment,0.0
CAMP_0256,CUST_347,Flash Sale,0,SMS,2025-01-28,1,0,Treatment,0.0
CAMP_0257,CUST_379,Loyalty Reward,0,Email,2025-01-12,0,0,Treatment,0.0
CAMP_0258,CUST_413,New Arrival,10,Email,2025-01-30,0,0,Control,0.0
CAMP_0259,CUST_254,Loyalty Reward,0,Email,2025-03-28,0,0,Treatment,0.0
CAMP_0260,CUST_178,Flash Sale,30,Email,2025-02-05,1,0,Treatment,0.0
CAMP_0261,CUST_461,Flash Sale,50,In-App Push,2025-03-07,1,0,Treatment,0.0
CAMP_0262,CUST_332,Flash Sale,10,Email,2025-04-20,0,0,Treatment,0.0
CAMP_0263,CUST_319,Discount,30,Email,2025-01-23,0,0,Treatment,0.0
CAMP_0264,CUST_308,New Arrival,20,SMS,2025-02-04,0,0,Treatment,0.0
CAMP_0265,CUST_216,Flash Sale,50,SMS,2025-03-11,1,1,Treatment,5124.56
CAMP_0266,CUST_133,Loyalty Reward,50,In-App Push,2025-01-22,0,0,Treatment,0.0
CAMP_0267,CUST_139,Flash Sale,30,Email,2025-02-06,0,0,Control,0.0
CAMP_0268,CUST_223,Discount,0,In-App Push,2025-01-16,0,0,Treatment,0.0
CAMP_0269,CUST_127,Flash Sale,30,Email,2025-04-09,0,0,Treatment,0.0
CAMP_0270,CUST_161,Discount,30,In-App Push,2025-03-31,0,0,Treatment,0.0
CAMP_0271,CUST_200,Discount,20,In-App Push,2025-04-18,0,0,Treatment,0.0
CAMP_0272,CUST_208,Loyalty Reward,0,SMS,2025-04-10,0,0,Treatment,0.0
CAMP_0273,CUST_197,Loyalty Reward,20,SMS,2025-04-29,0,0,Treatment,0.0
CAMP_0274,CUST_342,Loyalty Reward,0,Email,2025-03-24,0,0,Treatment,0.0
CAMP_0275,CUST_329,Loyalty Reward,10,Email,2025-03-19,0,0,Treatment,0.0
CAMP_0276,CUST_337,Flash Sale,0,In-App Push,2025-02-02,0,0,Control,0.0
CAMP_0277,CUST_188,Flash Sale,0,In-App Push,2025-01-06,0,0,Treatment,0.0
CAMP_0278,CUST_327,Loyalty Reward,30,SMS,2025-04-11,0,0,Treatment,0.0
CAMP_0279,CUST_354,Discount,50,SMS,2025-01-08,1,0,Treatment,0.0
CAMP_0280,CUST_455,Loyalty Reward,0,Email,2025-03-15,0,0,Treatment,0.0
CAMP_0281,CUST_479,Flash Sale,20,In-App Push,2025-02-11,1,0,Treatment,0.0
CAMP_0282,CUST_023,Flash Sale,10,SMS,2025-04-12,1,0,Treatment,0.0
CAMP_0283,CUST_214,Loyalty Reward,0,SMS,2025-02-16,0,0,Control,0.0
CAMP_0284,CUST_154,Discount,0,SMS,2025-02-11,0,0,Treatment,0.0
CAMP_0285,CUST_397,Loyalty Reward,0,SMS,2025-04-08,0,0,Control,0.0
CAMP_0286,CUST_462,Loyalty Reward,0,SMS,2025-02-17,1,0,Treatment,0.0
CAMP_0287,CUST_365,Loyalty Reward,50,In-App Push,2025-01-27,0,0,Treatment,0.0
CAMP_0288,CUST_322,Loyalty Reward,50,SMS,2025-03-28,0,0,Treatment,0.0
CAMP_0289,CUST_168,Flash Sale,20,SMS,2025-04-15,0,0,Treatment,0.0
CAMP_0290,CUST_281,Discount,10,SMS,2025-04-03,0,0,Treatment,0.0
CAMP_0291,CUST_083,Loyalty Reward,20,SMS,2025-04-22,0,0,Treatment,0.0
CAMP_0292,CUST_001,Discount,20,In-App Push,2025-02-11,1,1,Treatment,11254.74
CAMP_0293,CUST_433,Loyalty Reward,0,Email,2025-04-23,0,0,Control,0.0
CAMP_0294,CUST_280,Flash Sale,50,Email,2025-04-10,1,0,Treatment,0.0
CAMP_0295,CUST_357,Loyalty Reward,10,In-App Push,2025-02-03,0,0,Treatment,0.0
